protocol_id,image_id,reviewed,review_method,text_region_count,screen_region_count,text_legibility_subgroup,screen_subgroup,view_type,participant_id,day_id,event_key,selection_stratum,source_manifest,text_boxes_json,screen_boxes_json,text_review_status,screen_review_status,manual_text_present,manual_contains_legible_text,manual_screen_present,manual_screen_contains_sensitive_content,reviewer_id,manual_notes
MM2_0012,day1/members/onanong/12_0150.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/12/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1867,""y1"":1202,""x2"":2424,""y2"":1525,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7766,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":1.9141}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0013,day1/members/onanong/13_0656.webp,yes,manual reviewer-app verification by the project reviewers,0,3,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/13/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":2705,""y1"":1151,""x2"":3094,""y2"":1348,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8363,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-0.8203},{""x1"":1474,""y1"":22,""x2"":2290,""y2"":700,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.6001,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-1.9219},{""x1"":2181,""y1"":1446,""x2"":2334,""y2"":1782,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0014,day1/members/allie/13_0023.webp,yes,manual reviewer-app verification by the project reviewers,1,1,legible_text,potentially_sensitive_screen_content,egocentric,allie,day1,day1/13/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":3111,""y1"":1677,""x2"":3460,""y2"":2088,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]","[{""x1"":2481,""y1"":1260,""x2"":3098,""y2"":2097,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8545,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":1.625}]",reviewed,reviewed,yes,yes,yes,yes,,Reviewer-app verified.
MM2_0015,day1/members/werner/13_0227.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,werner,day1,day1/13/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1500,""y1"":1600,""x2"":1900,""y2"":2160,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located screen region; verify or refine in the reviewer.""}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0016,day1/members/onanong/13_0418.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/13/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1572,""y1"":1293,""x2"":2104,""y2"":1605,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8701,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.2656}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0017,day1/members/allie/14_0032.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,allie,day1,day1/14/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":2815,""y1"":936,""x2"":3136,""y2"":1142,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8561,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-0.5703}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0018,day1/members/cathal/14_0438.webp,yes,manual reviewer-app verification by the project reviewers,11,0,legible_text,no_visible_screen,egocentric,cathal,day1,day1/14/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1821,""y1"":484,""x2"":1939,""y2"":584,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1996,""y1"":1600,""x2"":2156,""y2"":1660,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1812,""y1"":1608,""x2"":1896,""y2"":1664,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1672,""y1"":1664,""x2"":1756,""y2"":1720,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1811,""y1"":1703,""x2"":2121,""y2"":1777,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2135,""y1"":1783,""x2"":2285,""y2"":1857,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1659,""y1"":1807,""x2"":1921,""y2"":1877,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2020,""y1"":1852,""x2"":2140,""y2"":1908,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1842,""y1"":1856,""x2"":1938,""y2"":1924,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1657,""y1"":1885,""x2"":2193,""y2"":2019,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1648,""y1"":2006,""x2"":2534,""y2"":2148,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0019,day1/members/luca/14_0671.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,luca,day1,day1/14/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0020,day1/members/tien/14_0109.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day1,day1/14/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":2244,""y1"":907,""x2"":2568,""y2"":1128,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.6793,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":1.875}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0021,day1/members/luca/15_0032.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,luca,day1,day1/15/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0022,day1/members/onanong/15_0174.webp,yes,manual reviewer-app verification by the project reviewers,3,0,legible_text,no_visible_screen,egocentric,onanong,day1,day1/15/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":3801,""y1"":77,""x2"":3840,""y2"":151,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":2616,""y1"":1575,""x2"":2931,""y2"":1749,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""},{""x1"":2142,""y1"":1449,""x2"":2382,""y2"":1689,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0023,day1/members/onanong/15_0421.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,onanong,day1,day1/15/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1629,""y1"":1938,""x2"":1968,""y2"":2124,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0024,day1/members/florian/15_0596.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,florian,day1,day1/15/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1630,""y1"":1059,""x2"":2713,""y2"":1706,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.9495,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-2.25}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0025,day1/members/werner/16_0501.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,werner,day1,day1/16/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":2198,""y1"":1875,""x2"":2445,""y2"":2128,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.5808,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":5.5156}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0026,day1/members/werner/16_0278.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,werner,day1,day1/16/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1540,""y1"":1648,""x2"":1752,""y2"":1762,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.2733,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.0547}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0027,day1/members/florian/16_0046.webp,yes,manual reviewer-app verification by the project reviewers,2,0,legible_text,no_visible_screen,egocentric,florian,day1,day1/16/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":2508,""y1"":752,""x2"":2564,""y2"":784,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1899,""y1"":1137,""x2"":2955,""y2"":2004,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0028,day1/members/cathal/16_0128.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,cathal,day1,day1/16/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0029,day1/members/klaus/17_0225.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,klaus,day1,day1/17/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1779,""y1"":640,""x2"":2509,""y2"":1360,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0030,day1/members/cathal/17_0482.webp,yes,manual reviewer-app verification by the project reviewers,2,0,legible_text,no_visible_screen,egocentric,cathal,day1,day1/17/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":441,""y1"":1571,""x2"":1481,""y2"":2115,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""},{""x1"":1560,""y1"":1086,""x2"":2169,""y2"":1293,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0031,day1/members/stevan/17_0713.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,stevan,day1,day1/17/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0032,day1/members/tien/17_0143.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,tien,day1,day1/17/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0033,day1/members/werner/18_0025.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,werner,day1,day1/18/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1738,""y1"":1723,""x2"":1980,""y2"":1995,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0034,day1/members/cathal/18_0506.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,cathal,day1,day1/18/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1371,""y1"":360,""x2"":1985,""y2"":835,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.654,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":4.0859}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0035,day1/members/luca/18_0100.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,luca,day1,day1/18/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":3059,""y1"":760,""x2"":3820,""y2"":1793,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.5472,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.2578}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0036,day1/members/bjorn/18_0423.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,bjorn,day1,day1/18/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0037,day1/members/werner/19_0440.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,werner,day1,day1/19/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0038,day1/members/onanong/19_0549.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,onanong,day1,day1/19/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0039,day1/members/allie/19_0644.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,allie,day1,day1/19/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":3118,""y1"":1591,""x2"":3831,""y2"":2001,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.6541,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":0.7578}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0040,day1/members/tien/19_0234.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,tien,day1,day1/19/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0041,day1/members/florian/20_0272.webp,yes,manual reviewer-app verification by the project reviewers,2,0,legible_text,no_visible_screen,egocentric,florian,day1,day1/20/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1863,""y1"":314,""x2"":2069,""y2"":580,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1647,""y1"":1137,""x2"":2766,""y2"":2010,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0042,day1/members/florian/20_0329.webp,yes,manual reviewer-app verification by the project reviewers,2,0,legible_text,no_visible_screen,egocentric,florian,day1,day1/20/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":2795,""y1"":23,""x2"":2921,""y2"":213,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer.""},{""x1"":1614,""y1"":1389,""x2"":2538,""y2"":2109,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0043,day1/members/cathal/20_0173.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,cathal,day1,day1/20/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0044,day1/members/onanong/20_0021.webp,yes,manual reviewer-app verification by the project reviewers,0,2,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/20/0,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1299,""y1"":1989,""x2"":1629,""y2"":2150,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.3793,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.5156},{""x1"":105,""y1"":1857,""x2"":987,""y2"":2139,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8579,""validation_source"":""source_aware_visual_seed_gate"",""display_margin"":-1.1484}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0045,day1/members/cathal/08_0423.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,cathal,day1,day1/8/4,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
