protocol_id,image_id,predicted_risk_state,privacy_score,utility_score,residual_classes,freeze_disposition,open_enhancement
MM2_0142,day3/members/tien/19_0011.webp,text_and_screen_present,0.99826924764766,0.4597183172472319,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0143,day3/members/cathal/19_0118.webp,text_and_screen_present,0.7327793103799205,0.4579552437177513,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0144,day3/members/onanong/19_0470.webp,text_and_screen_present,0.9248639588925038,0.4254622544537585,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0172,day4/members/florian/13_0312.webp,text_and_screen_present,0.9997890936008744,0.4020298990305142,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0174,day4/members/luca/14_0716.webp,text_and_screen_present,0.9818226860282132,0.3487532329323851,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0177,day4/members/luca/15_0035.webp,text_and_screen_present,0.9705989832729432,0.3636293955027813,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0179,day4/members/allie/15_0359.webp,text_and_screen_present,1.0,0.4495117848670542,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0191,day4/members/klaus/09_0177.webp,text_and_screen_present,0.999433633419662,0.4325023505349419,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0195,day2/members/werner/13_0638.webp,text_and_screen_present,0.9700956593511706,0.3630291474181999,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0198,day2/members/bjorn/15_0006.webp,screen_present,0.993806826278498,0.3950270187107617,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0202,day1/members/klaus/10_0156.webp,screen_present,0.982236720895113,0.3617762121909813,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0214,day1/members/cathal/09_0716.webp,text_and_screen_present,0.9990262255541577,0.4596181650486917,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0215,day2/members/tien/10_0260.webp,text_and_screen_present,0.9051914069368938,0.452480053656665,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0217,day2/members/luca/12_0426.webp,text_and_screen_present,0.9995039204717447,0.4149728956597934,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0242,day4/members/cathal/11_0445.webp,text_and_screen_present,0.999073344706171,0.4392515623194255,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0243,day4/members/florian/12_0627.webp,screen_present,0.9998144487937162,0.4209906605803868,utility_below_050,frozen_screen_fill_utility_cost,False
MM2_0014,day1/members/allie/13_0023.webp,screen_present,0.9923502842353362,0.4320660607941948,missed_text_presence|utility_below_050,frozen_text_miss_screen_protected,False
