relative_path,retry_status,raw_status,box_count,runtime_seconds,output_path,error,retry_variant
day2/members/onanong/17_0009.webp,RECOVERED_EXISTING_OUTPUT,existing,1,1.2e-05,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/onanong/17_0009.webp,,padding040_det005_face512_two_shards
day2/members/tien/19_0512.webp,RECOVERED_EXISTING_OUTPUT,existing,8,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/tien/19_0512.webp,,padding040_det005_face512_two_shards
day1/members/tien/19_0392.webp,RECOVERED_EXISTING_OUTPUT,existing,9,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/tien/19_0392.webp,,padding040_det005_face512_two_shards
day1/members/klaus/17_0521.webp,FAILED_AFTER_RETRY,error,4,70.42338,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F9085B0>.,padding040_det005_face512_two_shards
day2/members/werner/14_0229.webp,FAILED_AFTER_RETRY,error,1,0.188822,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F9085B0>.,padding040_det005_face512_two_shards
day1/members/bjorn/10_0501.webp,RECOVERED,ok,7,245.882124,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/bjorn/10_0501.webp,,padding040_det005_face512_two_shards
day2/members/bjorn/20_0121.webp,RECOVERED,ok,4,140.239667,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/bjorn/20_0121.webp,,padding040_det005_face512_two_shards
day2/members/onanong/14_0331.webp,FAILED_AFTER_RETRY,error,3,34.705491,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F9085B0>.,padding040_det005_face512_two_shards
day3/members/onanong/11_0644.webp,RECOVERED,ok,2,70.277728,outputs/03_anonymisation/05_reverse_personalization/images/day3/members/onanong/11_0644.webp,,padding040_det005_face512_two_shards
day2/members/klaus/10_0464.webp,RECOVERED,ok,3,104.827419,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/klaus/10_0464.webp,,padding040_det005_face512_two_shards
day4/members/stevan/10_0629.webp,FAILED_AFTER_RETRY,error,4,35.556187,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F946B60>.,padding040_det005_face512_two_shards
day2/members/klaus/19_0493.webp,FAILED_AFTER_RETRY,error,5,105.29649,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F93F550>.,padding040_det005_face512_two_shards
day1/members/werner/08_0280.webp,RECOVERED,ok,1,35.400958,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/werner/08_0280.webp,,padding040_det005_face512_two_shards
day2/members/allie/10_0201.webp,RECOVERED,ok,4,140.826468,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/allie/10_0201.webp,,padding040_det005_face512_two_shards
day2/members/tien/12_0017.webp,FAILED_AFTER_RETRY,error,2,35.039201,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F92BC40>.,padding040_det005_face512_two_shards
day4/members/bjorn/10_0048.webp,RECOVERED,ok,2,70.562498,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/bjorn/10_0048.webp,,padding040_det005_face512_two_shards
day2/members/bjorn/19_0187.webp,RECOVERED,ok,2,70.15487,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/bjorn/19_0187.webp,,padding040_det005_face512_two_shards
day1/members/florian/18_0042.webp,RECOVERED,ok,5,175.290753,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/florian/18_0042.webp,,padding040_det005_face512_two_shards
day1/members/florian/16_0525.webp,RECOVERED,ok,1,35.317305,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/florian/16_0525.webp,,padding040_det005_face512_two_shards
day4/members/klaus/13_0503.webp,RECOVERED,ok,6,210.224865,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/klaus/13_0503.webp,,padding040_det005_face512_two_shards
day2/members/florian/14_0672.webp,FAILED_AFTER_RETRY,error,2,34.964731,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F953700>.,padding040_det005_face512_two_shards
day3/members/florian/10_0693.webp,FAILED_AFTER_RETRY,error,1,0.177192,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DF91F93F550>.,padding040_det005_face512_two_shards
day1/members/bjorn/09_0300.webp,RECOVERED,ok,6,208.829851,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/bjorn/09_0300.webp,,padding040_det005_face512_two_shards
day1/members/florian/17_0649.webp,RECOVERED,ok,6,209.228106,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/florian/17_0649.webp,,padding040_det005_face512_two_shards
day4/members/klaus/12_0118.webp,RECOVERED,ok,7,244.220029,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/klaus/12_0118.webp,,padding040_det005_face512_two_shards
