relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_path,condition_label,source_protocol,box_count,annotation_status,review_method,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,category_notes,ground_truth_face_count,predicted_face_count,matched_face_count,missed_face_count
day2/members/tien/19_0472.webp,19_0472.webp,webp,260188,1c297e025d0ed0000be8eae5110d91c29950585c8f6c2bb66f4700ab23608464,3840,2160,tien,egocentric,tien,day2,ok,valid,day2,19_0472,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/tien/19_0472.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|low_light|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,yes,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,17,0,8
day2/members/tien/19_0512.webp,19_0512.webp,webp,251616,6ffb3e9b30ec486dfeec84303434af090d31c9e30f5f89c3c6543e6fb88482b5,3840,2160,tien,egocentric,tien,day2,ok,valid,day2,19_0512,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/tien/19_0512.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,16,0,8
day2/members/tien/20_0019.webp,20_0019.webp,webp,169110,1507dd3105bbf140a915b8d12a14ebc1f9091ec857a0fec746ae27db9535485f,3840,2160,tien,egocentric,tien,day2,ok,valid,day2,20_0019,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/tien/20_0019.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_low,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,13,0,8
day3/members/bjorn/18_0483.webp,18_0483.webp,webp,200208,b0ba00a33a5f18da59770b57e5cec585de50eb9489de42ed1e4c7d1923ac1231,3840,2160,bjorn,egocentric,bjorn,day3,ok,valid,day3,18_0483,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/bjorn/18_0483.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,small,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,16,0,8
day3/members/cathal/20_0569.webp,20_0569.webp,webp,215800,4c8fe2fdfd1570d79fafab95d0b05d2301d9fcad05217b72eb1144cf4b70ed66,3840,2160,cathal,egocentric,cathal,day3,ok,valid,day3,20_0569,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/cathal/20_0569.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,18,0,8
day3/members/tien/18_0251.webp,18_0251.webp,webp,183234,4a8d7be53c5c3b34fbb5ac22062806ee157bf4014b44c0f4047c876d937e09c0,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,18_0251,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/tien/18_0251.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,13,0,8
day3/members/tien/18_0355.webp,18_0355.webp,webp,153672,61e24ef2e96268971b5d2ca2b62e2e7f162928ff818ec08f4329c591b7b9d625,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,18_0355,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/tien/18_0355.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,small,yes,yes,no,no,yes,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,13,0,8
day4/members/bao/11_0055.webp,11_0055.webp,webp,188764,c4409e106bfc9841ab64385fb6db4e17cb01ec985608fa776566ba7248606398,3840,2160,bao,egocentric,bao,day4,ok,valid,day4,11_0055,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bao/11_0055.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,10,0,8
day4/members/cathal/13_0210.webp,13_0210.webp,webp,166638,4c923cadc72af0af4b234a46c102ef16293e1e328f853c93984a4c01a6138b51,3840,2160,cathal,egocentric,cathal,day4,ok,valid,day4,13_0210,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/cathal/13_0210.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|low_light|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,yes,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,14,0,8
day4/members/klaus/12_0644.webp,12_0644.webp,webp,280508,2e44add693f96d86d1ad5d3ae3c8739e91a8502d3dec95a26fcdaa3f2395a370,3840,2160,klaus,egocentric,klaus,day4,ok,valid,day4,12_0644,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/klaus/12_0644.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,25,0,8
day4/members/klaus/13_0393.webp,13_0393.webp,webp,298090,35e18a9158f23d24c4c83a60a6915945c2a44e7e8a22c4a2aa3c4623e5dfb3ba,3840,2160,klaus,egocentric,klaus,day4,ok,valid,day4,13_0393,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/klaus/13_0393.webp,multi_face|small|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,small,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,25,0,8
day3/members/stevan/17_0661.webp,17_0661.webp,webp,210096,990390591b440e89c60223ba8222000a55916f9da920240b3733de0eb222a744,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,17_0661,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/stevan/17_0661.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,12,1,7
day1/members/allie/10_0546.webp,10_0546.webp,webp,243478,89a21489caf471d631356d26216a69e710fed556e05db9d44aef811f478bcff3,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,10_0546,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/allie/10_0546.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,14,0,7
day1/members/bjorn/10_0501.webp,10_0501.webp,webp,210884,a0a2b2ea00979c18666abe9e8a4b2c837ad42d58a6625ca2d696baa7e9b5b4c5,3840,2160,bjorn,egocentric,bjorn,day1,ok,valid,day1,10_0501,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/bjorn/10_0501.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,14,0,7
day1/members/florian/10_0419.webp,10_0419.webp,webp,193076,bb1fc0a307d91fda3075a3802f1e7748a3ef9d7e82c84d2dfe4dab4b3ad199df,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,10_0419,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/florian/10_0419.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,yes,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,15,0,7
day1/members/klaus/09_0268.webp,09_0268.webp,webp,286924,ad2810806d551b63d7c324c91a278344b697dc3b4b33bfd3ff8ba4a2368f66be,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,09_0268,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/klaus/09_0268.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,25,0,7
day1/members/werner/10_0429.webp,10_0429.webp,webp,223542,f67f773891833a120ad5a660f8b22e9ae8c1e69663357abde1b9e88fbf939aa1,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,10_0429,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/werner/10_0429.webp,multi_face|small|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,small,no,no,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,9,0,7
day2/members/allie/19_0622.webp,19_0622.webp,webp,217374,aa237b45526d17e97e5b0ff507eee69c39b60115b998ff2b229e721f2ab68aaf,3840,2160,allie,egocentric,allie,day2,ok,valid,day2,19_0622,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/allie/19_0622.webp,multi_face|medium|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,no,no,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,19,0,7
day2/members/cathal/14_0312.webp,14_0312.webp,webp,253202,0d85e9a995329c89315074468dc91061062cc542b360a0a632941a9676fb6074,3840,2160,cathal,egocentric,cathal,day2,ok,valid,day2,14_0312,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/cathal/14_0312.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,23,0,7
day2/members/luca/14_0354.webp,14_0354.webp,webp,276006,5a19035732a802e702326b565dc9abec205ddd142eaba455821cc6fe17800f8c,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,14_0354,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/luca/14_0354.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,28,0,7
day2/members/stevan/11_0452.webp,11_0452.webp,webp,292048,8b2e235ec41afab9c2b8c36a0ee1d76f621b5e8f4f825e7724e8e0f26ef895bb,3840,2160,stevan,egocentric,stevan,day2,ok,valid,day2,11_0452,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/stevan/11_0452.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,mixed_scale,no,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,27,0,7
day2/members/werner/20_0424.webp,20_0424.webp,webp,272144,d6a5811ba271f0cbc7421d9e3d7ae3a7f0dd4a72792e9943bfd4da61391bd7b5,3840,2160,werner,egocentric,werner,day2,ok,valid,day2,20_0424,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/werner/20_0424.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,16,0,7
day3/members/klaus/18_0283.webp,18_0283.webp,webp,310760,efd00d680b91e38d288f88709ce22f44a6561ff8a97f21a2923ecbd7dfeb4c72,3840,2160,klaus,egocentric,klaus,day3,ok,valid,day3,18_0283,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/klaus/18_0283.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,14,0,7
day3/members/tien/14_0649.webp,14_0649.webp,webp,183662,2999c958efaea1cdecc451bc7008d15cc285089ef1596c5bd644064edc9506f1,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,14_0649,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/tien/14_0649.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,low,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,7,0,7
day4/members/bao/11_0220.webp,11_0220.webp,webp,211874,e9670f6ce6ddc603b39ab7ba20e6908b0ec71397b640c60910d66f44bd7ff1cf,3840,2160,bao,egocentric,bao,day4,ok,valid,day4,11_0220,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bao/11_0220.webp,multi_face|small|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,small,no,no,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,12,0,7
day4/members/bao/13_0504.webp,13_0504.webp,webp,207030,32871da7ed7b78824d812f49697fb7d6a8ed56c575aede33732a23ce798093c2,3840,2160,bao,egocentric,bao,day4,ok,valid,day4,13_0504,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bao/13_0504.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,15,0,7
day4/members/bao/13_0536.webp,13_0536.webp,webp,207812,8c9e1d89d77f200e19dfd48866faf135a52ebd376271414ac5acbcb241a949b4,3840,2160,bao,egocentric,bao,day4,ok,valid,day4,13_0536,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bao/13_0536.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,20,0,7
day4/members/bjorn/14_0135.webp,14_0135.webp,webp,274464,b0d55749e7ea1e31627b9499bbd7b40bd35c3731cfdbb70af4c59bc3c33bdab2,3840,2160,bjorn,egocentric,bjorn,day4,ok,valid,day4,14_0135,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bjorn/14_0135.webp,multi_face|small|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,small,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,23,0,7
day4/members/cathal/12_0648.webp,12_0648.webp,webp,197054,cd0f919ef2675071b95f42b65d27f025a8b0a2a1818923dfc797ce111f01a987,3840,2160,cathal,egocentric,cathal,day4,ok,valid,day4,12_0648,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/cathal/12_0648.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,16,0,7
day4/members/cathal/13_0074.webp,13_0074.webp,webp,244768,b4bcf78b9f92c87701955eb397a46103a7f0091f5b489a969758b7155177e66d,3840,2160,cathal,egocentric,cathal,day4,ok,valid,day4,13_0074,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/cathal/13_0074.webp,multi_face|medium|clutter_high,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,16,0,7
day4/members/klaus/12_0118.webp,12_0118.webp,webp,173994,5db3760b7c5ddfbf23c389e922099a0e0804ba8dbe389921a7ad084be02d68b0,3840,2160,klaus,egocentric,klaus,day4,ok,valid,day4,12_0118,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/klaus/12_0118.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,7,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",7,18,0,7
