index,image_id,field,pass_1,pass_2,adjudication_rule
38,day2/members/allie/18_0721.webp,visual_disruption,moderate_source_blur_or_occlusion,high_source_blur,conservative_privacy_max_or_utility_min
39,day2/members/allie/19_0554.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
42,day2/members/bjorn/14_0229.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
42,day2/members/bjorn/14_0229.webp,scene_understandability,medium,low,conservative_privacy_max_or_utility_min
42,day2/members/bjorn/14_0229.webp,activity_understandability,high,low,conservative_privacy_max_or_utility_min
42,day2/members/bjorn/14_0229.webp,visual_disruption,moderate_source_blur_or_occlusion,high_source_blur,conservative_privacy_max_or_utility_min
44,day2/members/cathal/10_0702.webp,visible_face_leakage_risk,high,possible,conservative_privacy_max_or_utility_min
45,day2/members/cathal/17_0136.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
46,day2/members/cathal/20_0086.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
48,day2/members/florian/09_0720.webp,visible_face_leakage_risk,possible,none,conservative_privacy_max_or_utility_min
50,day4/members/stevan/12_0344.webp,scene_understandability,medium,low,conservative_privacy_max_or_utility_min
50,day4/members/stevan/12_0344.webp,activity_understandability,medium,low,conservative_privacy_max_or_utility_min
50,day4/members/stevan/12_0344.webp,visual_disruption,moderate_source_blur_or_occlusion,high_source_blur,conservative_privacy_max_or_utility_min
52,day1/members/bjorn/08_0362.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
55,day3/members/tien/10_0507.webp,visible_screen_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
56,day2/members/onanong/16_0702.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
57,day1/members/bjorn/09_0664.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
60,day1/fixed/living1/14_0018.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
66,day3/fixed/living1/16_0566.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
68,day3/members/bjorn/11_0112.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
73,day2/members/luca/08_0508.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
74,day1/members/tien/18_0650.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
75,day4/fixed/living1/08_0542.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
77,day3/members/allie/16_0164.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
77,day3/members/allie/16_0164.webp,visible_screen_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
81,day1/members/onanong/17_0525.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
83,day3/fixed/living1/13_0472.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
85,day1/members/bjorn/17_0555.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
86,day2/members/cathal/17_0595.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
87,day1/members/werner/10_0365.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
91,day4/fixed/living2/08_0042.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
92,day1/fixed/living1/12_0021.webp,visible_text_leakage_risk,none,possible,conservative_privacy_max_or_utility_min
97,day2/members/onanong/10_0520.webp,visible_face_leakage_risk,possible,high,conservative_privacy_max_or_utility_min
