relative_path,box_count,face_count_category,face_scale_category,manual_no_face,manual_single_face,manual_multi_face,manual_small_face,manual_medium_face,manual_large_face,manual_mixed_scale_face,manual_very_small_or_distant_face,manual_edge_or_partial_face,manual_profile_or_occluded_face,manual_downward_egocentric_view,manual_motion_blur_or_low_sharpness,manual_low_light_or_dim,manual_high_clutter,detected_box_count,pred_no_face,pred_single_face,pred_multi_face,pred_small_face,pred_medium_face,pred_large_face,pred_mixed_scale_face,pred_very_small_or_distant_face,pred_edge_or_partial_face,pred_profile_or_occluded_face,pred_downward_egocentric_view,pred_motion_blur_or_low_sharpness,pred_low_light_or_dim,pred_high_clutter,text_present,screen_present,no_text_screen_risk,multimodal_risk_state
day3/members/florian/19_0198.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
day4/members/allie/18_0334.webp,1,single_face,large,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,,,,
day4/members/werner/09_0017.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day4/members/werner/12_0528.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,,,
day3/members/bjorn/20_0140.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,True,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,,,,
day3/members/onanong/15_0413.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day1/members/luca/13_0044.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,,,,
day4/members/luca/11_0578.webp,6,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day4/members/werner/18_0672.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day2/members/luca/11_0416.webp,5,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,,,,
day1/members/stevan/08_0631.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,
day3/members/luca/17_0412.webp,4,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,,,,
day4/members/onanong/13_0378.webp,6,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day3/members/luca/11_0126.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,,,,
day4/members/cathal/13_0074.webp,7,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,,,,
day2/members/cathal/19_0687.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,
day1/members/allie/09_0273.webp,6,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day3/members/luca/13_0698.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,
day4/members/allie/09_0480.webp,1,single_face,very_small_or_distant,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,,,
day1/members/luca/18_0040.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,,,
day2/members/luca/10_0654.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day1/members/klaus/10_0063.webp,0,single_face,large,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,,,,
day3/members/tien/20_0155.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,,,,
day1/members/onanong/08_0611.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
day4/members/stevan/13_0714.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day2/members/florian/12_0020.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/cathal/09_0001.webp,5,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,,,,
day1/members/luca/08_0225.webp,2,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,
day1/members/allie/14_0135.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,,,
day1/members/allie/10_0099.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day4/members/bao/08_0028.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day1/members/bjorn/18_0340.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,
day1/members/luca/15_0236.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,
day2/members/florian/19_0363.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day1/members/werner/18_0484.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,,,,
day4/members/allie/08_0040.webp,1,single_face,large,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,,,,
day2/members/klaus/12_0264.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,
day1/members/florian/08_0717.webp,5,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,,,,
day2/members/allie/13_0355.webp,1,single_face,large,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,,,,
day1/members/bjorn/15_0004.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,
day2/members/klaus/10_0629.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,
day1/members/luca/08_0069.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day4/members/werner/08_0337.webp,2,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,
day2/members/werner/17_0115.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,,,,
day3/members/klaus/12_0484.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day4/members/stevan/13_0149.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,
day1/members/luca/08_0716.webp,2,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,
day1/members/cathal/08_0346.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day4/members/florian/10_0112.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day1/members/florian/13_0133.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
day2/members/tien/19_0311.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,
day3/members/werner/08_0688.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,
day3/members/onanong/11_0042.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,,,,
day3/members/luca/18_0573.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,
day3/members/allie/17_0205.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,,,,
day3/members/bjorn/18_0629.webp,5,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,,,,
day3/members/florian/19_0349.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day3/members/cathal/11_0509.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day3/members/allie/17_0399.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day1/members/klaus/09_0114.webp,5,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,,,,
day4/members/klaus/11_0401.webp,6,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,,,,
day4/members/luca/14_0559.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
day2/members/bjorn/19_0429.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
day1/members/luca/12_0168.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
day4/members/onanong/12_0450.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day2/members/cathal/12_0044.webp,2,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,,,
day3/members/klaus/15_0375.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/onanong/10_0201.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day2/members/florian/14_0324.webp,9,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,,,,
day4/members/bao/11_0549.webp,9,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day3/members/florian/12_0302.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,
day3/members/allie/12_0570.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,
day3/members/tien/09_0391.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day4/members/luca/10_0077.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
day3/members/stevan/20_0090.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day3/members/klaus/18_0283.webp,7,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day4/members/bjorn/08_0670.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
day3/members/luca/18_0517.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,,,,
day1/members/onanong/14_0049.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
day1/members/luca/15_0372.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day4/members/cathal/13_0418.webp,5,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day1/members/bjorn/10_0088.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day2/members/werner/10_0252.webp,2,multi_face,large,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,,,,
day4/members/bjorn/13_0126.webp,6,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,
day1/members/bjorn/11_0116.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day3/members/klaus/09_0194.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,
day3/members/klaus/20_0128.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,True,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,,,,
day1/members/florian/08_0341.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day3/members/cathal/12_0524.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day2/members/onanong/17_0009.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,,,,
day3/members/klaus/12_0480.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/werner/19_0255.webp,1,single_face,medium,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
day1/members/werner/13_0606.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
day4/members/bjorn/10_0076.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day3/members/luca/19_0582.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day1/members/bjorn/18_0134.webp,2,multi_face,large,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,,,,
day4/members/luca/10_0115.webp,1,single_face,large,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,
day3/members/bjorn/18_0483.webp,8,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day2/members/tien/19_0512.webp,8,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,,,,
day2/members/stevan/11_0452.webp,7,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,,,,
day1/members/tien/08_0068.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/florian/18_0328.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,
day2/members/onanong/18_0325.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day2/members/cathal/10_0597.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,True,False,False,4.0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,,,,
day3/members/klaus/11_0207.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day2/members/bjorn/15_0627.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day2/members/onanong/14_0193.webp,5,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day2/members/onanong/10_0373.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day4/members/bao/11_0220.webp,7,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day2/members/klaus/15_0590.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/werner/11_0547.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day3/members/klaus/18_0613.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,
day1/members/cathal/10_0708.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,,,,
day1/members/tien/19_0392.webp,9,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,9.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,,,
day4/members/luca/11_0464.webp,6,multi_face,large,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
day3/members/allie/10_0655.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day2/members/allie/13_0179.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/florian/15_0647.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day2/members/klaus/12_0531.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
day1/members/bjorn/15_0586.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day1/members/bjorn/09_0318.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,
day3/members/allie/12_0148.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,
day1/members/klaus/17_0521.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,,,,
day2/members/luca/10_0586.webp,4,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,
day4/members/onanong/11_0656.webp,7,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,,,
day1/members/onanong/17_0468.webp,1,single_face,small,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,
day2/members/werner/14_0229.webp,1,single_face,very_small_or_distant,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,,,,
day3/members/allie/18_0514.webp,5,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,,,
day1/members/bjorn/10_0130.webp,5,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,
