protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,ground_truth_text_present,predicted_text_present,ground_truth_screen_present,predicted_screen_present,text_present,screen_present,no_text_screen_risk,multimodal_risk_state,route_action,multimodal_route_action
MM2_0043,day1/members/cathal/20_0173.webp,development,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0044,day1/members/onanong/20_0021.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0045,day1/members/cathal/08_0423.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0046,day1/members/luca/08_0255.webp,development,text_and_screen_present,screen_present,True,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0047,day1/members/werner/08_0632.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0048,day1/members/florian/08_0344.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0049,day1/members/onanong/09_0581.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0050,day1/members/luca/09_0045.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0051,day1/members/onanong/09_0482.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0052,day1/members/onanong/09_0283.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0053,day2/members/tien/10_0485.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0054,day2/members/florian/10_0037.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0055,day2/members/klaus/10_0583.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0056,day2/members/klaus/10_0709.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0057,day2/members/stevan/11_0550.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0058,day2/members/stevan/11_0346.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0059,day2/members/stevan/11_0104.webp,development,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0060,day2/members/stevan/11_0245.webp,test,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0061,day2/members/klaus/12_0131.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0062,day2/members/luca/12_0322.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0063,day2/members/klaus/12_0217.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0064,day2/members/cathal/12_0720.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0065,day2/members/tien/13_0301.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0066,day2/members/tien/13_0227.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0067,day2/members/tien/13_0078.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0068,day2/members/tien/13_0190.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0069,day2/members/bjorn/14_0689.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0070,day2/members/werner/14_0023.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0071,day2/members/luca/14_0216.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0072,day2/members/bjorn/14_0374.webp,test,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0073,day2/members/klaus/15_0332.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0074,day2/members/klaus/15_0290.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0075,day2/members/klaus/15_0417.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0076,day2/members/florian/15_0625.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0077,day2/members/florian/16_0007.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0078,day2/members/florian/16_0111.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0079,day2/members/allie/16_0461.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0080,day2/members/allie/16_0504.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0081,day2/members/florian/17_0708.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0082,day2/members/cathal/17_0514.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0083,day2/members/cathal/17_0031.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0084,day2/members/cathal/17_0470.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0085,day2/members/allie/18_0481.webp,development,text_present,screen_present,True,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0086,day2/members/cathal/18_0623.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0087,day2/members/cathal/18_0165.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0088,day2/members/cathal/18_0330.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0089,day2/members/cathal/19_0065.webp,test,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0090,day2/members/allie/19_0540.webp,test,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0091,day2/members/cathal/19_0188.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0092,day2/members/cathal/19_0230.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0093,day2/members/cathal/20_0186.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0094,day2/members/stevan/20_0437.webp,development,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0095,day2/members/werner/20_0669.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0096,day2/members/werner/20_0510.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0097,day2/members/werner/08_0068.webp,development,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0098,day2/members/luca/08_0586.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0099,day2/members/luca/08_0637.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0100,day2/members/luca/08_0482.webp,test,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0101,day2/members/werner/09_0713.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0102,day2/members/florian/09_0551.webp,test,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0103,day2/members/florian/09_0655.webp,development,text_and_screen_present,text_and_screen_present,True,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0104,day2/members/florian/09_0290.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0105,day3/members/allie/10_0309.webp,development,text_and_screen_present,text_and_screen_present,True,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0106,day3/members/klaus/10_0640.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0107,day3/members/bjorn/10_0208.webp,test,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0108,day3/members/tien/10_0459.webp,development,text_and_screen_present,text_and_screen_present,True,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0109,day3/members/klaus/11_0126.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0110,day3/members/cathal/11_0222.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0111,day3/members/klaus/11_0085.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0112,day3/members/tien/11_0629.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0113,day3/members/klaus/12_0549.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0114,day3/members/florian/12_0423.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0115,day3/members/cathal/12_0103.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0116,day3/members/onanong/12_0079.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0117,day3/members/florian/13_0155.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0118,day3/members/florian/13_0715.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0119,day3/members/klaus/13_0050.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0120,day3/members/florian/13_0205.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0121,day3/members/stevan/14_0173.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0122,day3/members/stevan/14_0466.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0123,day3/members/stevan/14_0592.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0124,day3/members/stevan/14_0340.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0125,day3/members/onanong/15_0248.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0126,day3/members/allie/15_0629.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0127,day3/members/tien/15_0056.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0128,day3/members/cathal/15_0532.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0129,day3/members/allie/16_0001.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0130,day3/members/allie/16_0285.webp,development,text_present,screen_present,True,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0131,day3/members/allie/16_0332.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0132,day3/members/allie/16_0190.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0133,day3/members/werner/17_0281.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0134,day3/members/tien/17_0068.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0135,day3/members/onanong/17_0461.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0136,day3/members/allie/17_0539.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0137,day3/members/cathal/18_0312.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0138,day3/members/onanong/18_0537.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0139,day3/members/onanong/18_0453.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0140,day3/members/onanong/18_0711.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0141,day3/members/klaus/19_0688.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0142,day3/members/tien/19_0011.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0143,day3/members/cathal/19_0118.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0144,day3/members/onanong/19_0470.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0145,day3/members/cathal/20_0075.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0146,day3/members/cathal/20_0121.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0147,day3/members/florian/20_0618.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0148,day3/members/florian/20_0568.webp,test,text_present,no_text_screen_risk,True,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0149,day3/members/luca/08_0665.webp,test,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0150,day3/members/tien/08_0537.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0151,day3/members/klaus/08_0715.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0152,day3/members/allie/08_0136.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0153,day3/members/allie/09_0560.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0154,day3/members/luca/09_0095.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0155,day3/members/cathal/09_0670.webp,test,text_and_screen_present,text_and_screen_present,True,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0156,day3/members/luca/09_0146.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0157,day4/members/onanong/10_0147.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0158,day4/members/cathal/10_0072.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0159,day4/members/klaus/10_0242.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0160,day4/members/florian/10_0522.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0161,day4/members/onanong/11_0304.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0162,day4/members/onanong/11_0222.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0163,day4/members/florian/11_0697.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0164,day4/members/onanong/11_0715.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0165,day4/members/werner/12_0174.webp,development,no_text_screen_risk,text_and_screen_present,False,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0166,day4/members/florian/12_0410.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0167,day4/members/stevan/12_0319.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0168,day4/members/allie/12_0597.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0169,day4/members/florian/13_0556.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0170,day4/members/florian/13_0095.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0171,day4/members/florian/13_0637.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0172,day4/members/florian/13_0312.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0173,day4/members/luca/14_0676.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0174,day4/members/luca/14_0716.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0175,day4/members/luca/14_0595.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0176,day4/members/florian/14_0275.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
