protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,variant,privacy_score,text_ocr_suppression_rate,text_ocr_privacy_score,text_region_obscuration,screen_region_obscuration,utility_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,runtime_score,success_score,multimodal_anonymisation_score,screen_area_threshold,ground_truth_text_count,ground_truth_screen_count,predicted_text_count,predicted_screen_count,policy,ground_truth_text_present,predicted_text_present,ground_truth_screen_present,predicted_screen_present,missed_text_detection,missed_screen_detection,residual_text_readability,insufficient_screen_obscuration,utility_below_050,any_residual_risk_flag
MM2_0045,day1/members/cathal/08_0423.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0048,day1/members/florian/08_0344.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0055,day2/members/klaus/10_0583.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0056,day2/members/klaus/10_0709.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0114,day3/members/florian/12_0423.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0127,day3/members/tien/15_0056.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0148,day3/members/florian/20_0568.webp,test,text_present,no_text_screen_risk,no_action_copy,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,,,,,,adaptive_multimodal_policy,True,False,False,False,True,False,True,False,False,True
MM2_0154,day3/members/luca/09_0095.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0157,day4/members/onanong/10_0147.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0163,day4/members/florian/11_0697.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0166,day4/members/florian/12_0410.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0167,day4/members/stevan/12_0319.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0168,day4/members/allie/12_0597.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0181,day4/members/cathal/17_0690.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0182,day4/members/cathal/17_0491.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0184,day4/members/klaus/18_0284.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0186,day4/members/florian/18_0190.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0190,day4/members/allie/08_0440.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0192,day4/members/werner/09_0063.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0194,day4/members/bjorn/09_0278.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0206,day1/members/bjorn/14_0517.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0213,day1/members/werner/08_0091.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0222,day2/members/onanong/17_0653.webp,development,screen_present,no_text_screen_risk,no_action_copy,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,,,,,,adaptive_multimodal_policy,False,False,True,False,False,True,False,True,False,True
MM2_0223,day2/members/cathal/18_0581.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0224,day2/members/tien/19_0715.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0225,day2/members/florian/20_0202.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0230,day3/members/allie/12_0708.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0233,day3/members/allie/15_0345.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0237,day3/members/florian/19_0720.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0240,day3/members/klaus/09_0370.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0241,day4/members/florian/10_0495.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9561434050360152,,,,0.9561434050360152,0.4755616829634911,0.9511233659269824,0.0574549213051795,0.0186757451538942,0.0106196289998479,0.989380371000152,1.0,0.8196782445070702,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9819587109821984,,,,0.9819587109821984,0.5569834720725919,0.967610734032612,0.0426821894943714,0.0025906838453914,0.0071525330131407,0.9928474669868592,1.0,0.8573591438115628,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,False,False
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.4519598901880506,0.9039197803761012,0.0842787623405456,0.081730324074074,0.0108308399940142,0.9891691600059858,1.0,0.8345048830570138,,0.0,0.0,0.0,4.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,True,True
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9994350183583184,,,,0.9994350183583184,0.4614068258591056,0.9228136517182112,0.0661118030548095,0.0423521050991259,0.0124413370067486,0.9875586629932512,1.0,0.8368954232362159,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0014,day1/members/allie/13_0023.webp,test,text_and_screen_present,screen_present,text_blur_screen_fill,0.9923502842353362,1.0,1.0,0.9985504630929588,0.9851354295427848,0.4320660607941948,0.8641321215883896,0.1244775354862213,0.0533237133640668,0.0074961540085496,0.9925038459914504,1.0,0.8250453449550715,,1.0,1.0,0.0,1.0,adaptive_multimodal_policy,True,False,True,True,True,False,False,False,True,True
MM2_0016,day1/members/onanong/13_0418.webp,test,screen_present,screen_present,text_blur_screen_fill,0.9995819345911032,,,,0.9995819345911032,0.6889202387705928,0.9728445890695824,0.0297502055764198,0.0039791845920302,0.012304068004596,0.987695931995404,1.0,0.9052366321262696,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,False,False
MM2_0039,day1/members/allie/19_0644.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9826375445601292,,,,0.9826375445601292,0.4598192232235372,0.9196384464470744,0.0642926916480064,0.0454596385638595,0.0117697759997099,0.98823022400029,1.0,0.8280875616471547,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0043,day1/members/cathal/20_0173.webp,development,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.7508411225208544,0.978815191294532,0.0238566473126411,0.0193653549382716,0.0072445209953002,0.9927554790046996,1.0,0.9245278846567264,,0.0,0.0,0.0,2.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,False,False
MM2_0046,day1/members/luca/08_0255.webp,development,text_and_screen_present,screen_present,text_blur_screen_fill,0.4994754090703757,0.0,0.0,0.0,0.9989508181407516,0.901463349667064,0.99127996590112,0.0094176633283495,0.0062128293328595,0.0094242890045279,0.990575710995472,1.0,0.7192342805348543,,1.0,1.0,0.0,3.0,adaptive_multimodal_policy,True,False,True,True,True,False,True,False,False,True
MM2_0051,day1/members/onanong/09_0482.webp,test,screen_present,screen_present,text_blur_screen_fill,0.7073155441465773,,,,0.7073155441465773,0.4315358635781576,0.8630717271563152,0.128345787525177,0.035760042706526,0.0089410880027571,0.9910589119972428,1.0,0.6822244223464602,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0059,day2/members/stevan/11_0104.webp,development,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.9382634110286094,0.9942051569937184,0.0058839167468249,0.0051060956790123,0.0105546209961175,0.9894453790038824,1.0,0.9804235612089712,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,False,False
MM2_0069,day2/members/bjorn/14_0689.webp,development,screen_present,screen_present,text_blur_screen_fill,0.944583057778936,,,,0.944583057778936,0.3967743934644412,0.7935487869288824,0.1631639152765274,0.0349290221191261,0.0125413990026572,0.9874586009973428,1.0,0.7900697070285347,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0082,day2/members/cathal/17_0514.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9999121704602226,,,,0.9999121704602226,0.3823190325751344,0.7646380651502689,0.2057010233402252,0.1377695994522423,0.0091943060106132,0.9908056939893868,1.0,0.8137323644015904,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0084,day2/members/cathal/17_0470.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9997512151208794,,,,0.9997512151208794,0.3860484789922445,0.772096957984489,0.193017303943634,0.1434080394842309,0.0139903610106557,0.9860096389893442,1.0,0.8142911151570474,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0085,day2/members/allie/18_0481.webp,development,text_present,screen_present,text_blur_screen_fill,0.0,0.0,0.0,0.0,,0.8242037255677244,0.9888507419055028,0.0170221645385026,0.0123798433024986,0.0098115529981441,0.9901884470018558,1.0,0.4462799623705029,,1.0,0.0,0.0,4.0,adaptive_multimodal_policy,True,False,False,True,True,False,True,False,False,True
MM2_0087,day2/members/cathal/18_0165.webp,test,screen_present,screen_present,text_blur_screen_fill,0.9868558183622482,,,,0.9868558183622482,0.3492330138482707,0.6984660276965414,0.2718031704425812,0.1524599213377188,0.0164276139985304,0.9835723860014696,1.0,0.7965550519357523,,0.0,2.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0088,day2/members/cathal/18_0330.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9975000318733908,,,,0.9975000318733908,0.3630972974645369,0.7261945949290739,0.2538934350013733,0.1868205755625299,0.0119676970061846,0.9880323029938154,1.0,0.806482435475438,,0.0,1.0,0.0,4.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0092,day2/members/cathal/19_0230.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9678712943265082,,,,0.9678712943265082,0.3454274684082523,0.6908549368165047,0.2893469929695129,0.1863130058498277,0.0133825380034977,0.9866174619965022,1.0,0.78622563388538,,0.0,2.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0094,day2/members/stevan/20_0437.webp,development,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.7003608846255576,0.9842019187586376,0.0291740074753761,0.0143171296296296,0.0088323670061072,0.9911676329938928,1.0,0.9092250286870566,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,False,False
MM2_0096,day2/members/werner/20_0510.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9971036305219888,,,,0.9971036305219888,0.4732079969875887,0.9464159939751774,0.0506596527993679,0.0272914643102508,0.0127844880043994,0.9872155119956004,1.0,0.8392357655568311,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0097,day2/members/werner/08_0068.webp,development,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.948430125938612,0.996981377456104,0.005006056278944,0.0034606481481481,0.0102287019981304,0.9897712980018696,1.0,0.9835061675817706,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,False,False
MM2_0121,day3/members/stevan/14_0173.webp,test,screen_present,screen_present,text_blur_screen_fill,0.7138298656562851,,,,0.7138298656562851,0.4342338393351881,0.8684676786703762,0.1020802482962608,0.0166738823444076,0.0090152570046484,0.9909847429953516,1.0,0.6862835589282342,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0122,day3/members/stevan/14_0466.webp,development,screen_present,screen_present,text_blur_screen_fill,0.5993896082193524,,,,0.5993896082193524,0.4610508709536107,0.9221017419072214,0.0631560236215591,0.0371453737274421,0.0097975859971484,0.9902024140028516,1.0,0.6370303067960446,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0123,day3/members/stevan/14_0592.webp,development,screen_present,screen_present,text_blur_screen_fill,0.6928108020706207,,,,0.6928108020706207,0.4508408034331752,0.9016816068663503,0.0763266533613205,0.0459844493061761,0.0088749939895933,0.9911250060104068,1.0,0.6807701426663036,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0124,day3/members/stevan/14_0340.webp,test,screen_present,screen_present,text_blur_screen_fill,0.7059452217955913,,,,0.7059452217955913,0.4633249099445037,0.9266498198890076,0.060040183365345,0.0092373272857082,0.0083483009948395,0.9916516990051604,1.0,0.6911352537816627,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0125,day3/members/onanong/15_0248.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9967569801955258,,,,0.9967569801955258,0.473656515278593,0.947313030557186,0.0536300539970397,0.010692799727725,0.0073842900019371,0.9926157099980628,1.0,0.839737015681147,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0130,day3/members/allie/16_0285.webp,development,text_present,screen_present,text_blur_screen_fill,0.9503598647939192,1.0,0.9333333333333332,0.9900884382019528,,0.4654290476835014,0.9308580953670028,0.0733224302530288,0.02075553977993,0.0096400159964105,0.9903599840035896,1.0,0.8138446451023689,,1.0,0.0,0.0,1.0,adaptive_multimodal_policy,True,False,False,True,True,False,False,False,True,True
MM2_0131,day3/members/allie/16_0332.webp,test,screen_present,screen_present,text_blur_screen_fill,0.9973094401695604,,,,0.9973094401695604,0.5521877210602428,0.9576626472205452,0.0426643602550029,0.017666020646284,0.0081105809949804,0.9918894190050196,1.0,0.863499978303355,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,False,False
MM2_0135,day3/members/onanong/17_0461.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9528783781630764,,,,0.9528783781630764,0.975327410321702,0.9943557773828892,0.0021850478369742,0.0008408603900507,0.0082955280086025,0.9917044719913974,1.0,0.9682078593771885,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,False,False
MM2_0141,day3/members/klaus/19_0688.webp,development,screen_present,screen_present,text_blur_screen_fill,0.8620618267898197,,,,0.8620618267898197,0.4647465458466639,0.929493091693328,0.0964424386620521,0.0100092933180427,0.0112889159936457,0.9887110840063542,1.0,0.7693259855495445,,0.0,2.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0145,day3/members/cathal/20_0075.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9998942409563502,,,,0.9998942409563502,0.416371147005075,0.83274229401015,0.1826837360858917,0.0926379589177668,0.0123992169974371,0.9876007830025628,1.0,0.8236185428799537,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0146,day3/members/cathal/20_0121.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9998787014510068,,,,0.9998787014510068,0.411164068224066,0.8223281364481321,0.1820852607488632,0.093526226563093,0.0089793399965856,0.9910206600034144,1.0,0.8223906371930646,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0164,day4/members/onanong/11_0715.webp,development,screen_present,screen_present,text_blur_screen_fill,0.7876431028064077,,,,0.7876431028064077,0.4454514988486031,0.8909029976972062,0.0841364040970802,0.0748993288590604,0.0120942819921765,0.9879057180078236,1.0,0.7262475728585671,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0171,day4/members/florian/13_0637.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9995814521561038,,,,0.9995814521561038,0.3748702116895936,0.7497404233791872,0.2348682135343551,0.1558901778077681,0.012964659006684,0.987035340993316,1.0,0.8109553236842616,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0175,day4/members/luca/14_0595.webp,development,screen_present,screen_present,text_blur_screen_fill,0.9510129755772116,,,,0.9510129755772116,0.3628507655113127,0.7257015310226254,0.227169781923294,0.0980074899174188,0.0131852399936178,0.986814760006382,1.0,0.7830431934426378,,0.0,1.0,0.0,4.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0198,day2/members/bjorn/15_0006.webp,test,screen_present,screen_present,text_blur_screen_fill,0.993806826278498,,,,0.993806826278498,0.3950270187107617,0.7900540374215234,0.1682532131671905,0.0657833764480935,0.0086904600029811,0.9913095399970188,1.0,0.8145424727521794,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0202,day1/members/klaus/10_0156.webp,test,screen_present,screen_present,text_blur_screen_fill,0.982236720895113,,,,0.982236720895113,0.3617762121909813,0.7235524243819625,0.2765572667121887,0.2075778157180896,0.0166722049907548,0.9833277950092452,1.0,0.7979840036057755,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0209,day1/members/cathal/17_0621.webp,development,screen_present,screen_present,text_blur_screen_fill,0.7722645695533953,,,,0.7722645695533953,0.6894014928155994,0.962533735417099,0.029186537489295,0.0126652026352565,0.008422774990322,0.991577225009678,1.0,0.7921104551223452,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,False,False
MM2_0212,day1/members/bjorn/20_0408.webp,development,screen_present,screen_present,text_blur_screen_fill,0.8089789806788958,,,,0.8089789806788958,0.4489540445555457,0.8979080891110914,0.0994487330317497,0.0706498124429455,0.0107443029992282,0.9892556970007718,1.0,0.7381012734061887,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0219,day2/members/onanong/14_0700.webp,test,no_text_screen_risk,screen_present,text_blur_screen_fill,1.0,,,,,0.9395268828507446,0.9908606054060026,0.0055903419852256,0.0075636574074074,0.0102939170028548,0.9897060829971452,1.0,0.9808286731549378,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy,False,False,False,True,False,False,False,False,False,False
MM2_0220,day2/members/allie/15_0719.webp,development,screen_present,screen_present,text_blur_screen_fill,0.0,,,,0.0,0.9030168154043224,0.993203130503946,0.009358474984765,0.0054455445544554,0.0076596169965341,0.9923403830034658,1.0,0.4701390829216434,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,True,False,True
MM2_0229,day3/members/cathal/11_0455.webp,development,screen_present,screen_present,text_blur_screen_fill,0.999636843870982,,,,0.999636843870982,0.4459067382644876,0.8918134765289752,0.1094313859939575,0.0565586743757873,0.0076533099927473,0.9923466900072526,1.0,0.8328251124155626,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0239,day3/members/luca/08_0205.webp,development,screen_present,screen_present,text_blur_screen_fill,0.8794141524338754,,,,0.8794141524338754,0.4540838497477801,0.9081676994955602,0.0645555406808853,0.0452884443795525,0.0079039889969863,0.9920960110030136,1.0,0.7751418322415732,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
MM2_0243,day4/members/florian/12_0627.webp,test,screen_present,screen_present,text_blur_screen_fill,0.9998144487937162,,,,0.9998144487937162,0.4209906605803868,0.8419813211607737,0.1453745812177658,0.0840944110110185,0.0124590990017168,0.9875409009982832,1.0,0.8249585126708024,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy,False,False,True,True,False,False,False,False,True,True
