protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,variant,privacy_score,text_ocr_suppression_rate,text_ocr_privacy_score,text_region_obscuration,screen_region_obscuration,utility_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,runtime_score,success_score,multimodal_anonymisation_score,screen_area_threshold,ground_truth_text_count,ground_truth_screen_count,predicted_text_count,predicted_screen_count,policy
MM2_0127,day3/members/tien/15_0056.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0148,day3/members/florian/20_0568.webp,test,text_present,no_text_screen_risk,no_action_copy,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,,,,,,adaptive_multimodal_policy
MM2_0154,day3/members/luca/09_0095.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0157,day4/members/onanong/10_0147.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0163,day4/members/florian/11_0697.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0166,day4/members/florian/12_0410.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0167,day4/members/stevan/12_0319.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0168,day4/members/allie/12_0597.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0181,day4/members/cathal/17_0690.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0182,day4/members/cathal/17_0491.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0184,day4/members/klaus/18_0284.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0186,day4/members/florian/18_0190.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0190,day4/members/allie/08_0440.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0192,day4/members/werner/09_0063.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0194,day4/members/bjorn/09_0278.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0206,day1/members/bjorn/14_0517.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0213,day1/members/werner/08_0091.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0222,day2/members/onanong/17_0653.webp,development,screen_present,no_text_screen_risk,no_action_copy,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,,,,,,adaptive_multimodal_policy
MM2_0223,day2/members/cathal/18_0581.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0224,day2/members/tien/19_0715.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0225,day2/members/florian/20_0202.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0230,day3/members/allie/12_0708.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0233,day3/members/allie/15_0345.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0237,day3/members/florian/19_0720.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0240,day3/members/klaus/09_0370.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0241,day4/members/florian/10_0495.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9561434050360151,,,,0.9561434050360151,0.47556168296349116,0.9511233659269823,0.057454921305179596,0.018675745153894256,0.0067333670012885705,0.9932666329987114,1.0,0.8200668707069261,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9819587109821984,,,,0.9819587109821984,0.5569834720725919,0.967610734032612,0.042682189494371414,0.0025906838453914767,0.007083382995915599,0.9929166170040844,1.0,0.8573660588132853,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.4519598901880506,0.9039197803761012,0.08427876234054565,0.08173032407407407,0.007121914008166641,0.9928780859918334,1.0,0.8348757756555986,,0.0,0.0,0.0,4.0,adaptive_multimodal_policy
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9994350183583184,,,,0.9994350183583184,0.4614068258591056,0.9228136517182112,0.06611180305480957,0.04235210509912596,0.0073548810032662,0.9926451189967338,1.0,0.8374040688365642,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0014,day1/members/allie/13_0023.webp,test,text_and_screen_present,screen_present,text_fill_screen_fill,0.9923502842353362,1.0,1.0,0.9985504630929589,0.9851354295427848,0.4320660607941948,0.8641321215883896,0.12447753548622131,0.053323713364066896,0.007520047001889907,0.9924799529981101,1.0,0.8250429556557375,,1.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0016,day1/members/onanong/13_0418.webp,test,screen_present,screen_present,text_fill_screen_fill,0.9995819345911031,,,,0.9995819345911031,0.6889202387705928,0.9728445890695824,0.02975020557641983,0.0039791845920302115,0.006229246995644644,0.9937707530043554,1.0,0.9058441142271648,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0039,day1/members/allie/19_0644.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9826375445601291,,,,0.9826375445601291,0.45981922322353724,0.9196384464470745,0.06429269164800644,0.04545963856385959,0.007291913003427908,0.9927080869965721,1.0,0.8285353479467829,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0043,day1/members/cathal/20_0173.webp,development,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.7508411225208544,0.9788151912945319,0.023856647312641144,0.019365354938271604,0.006813168991357088,0.9931868310086429,1.0,0.9245710198571206,,0.0,0.0,0.0,2.0,adaptive_multimodal_policy
MM2_0046,day1/members/luca/08_0255.webp,development,text_and_screen_present,screen_present,text_fill_screen_fill,0.49947540907037574,0.0,0.0,0.0,0.9989508181407515,0.9014633496670641,0.9912799659011201,0.00941766332834959,0.006212829332859518,0.0065182340040337294,0.9934817659959663,1.0,0.7195248860349037,,1.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0051,day1/members/onanong/09_0482.webp,test,screen_present,screen_present,text_fill_screen_fill,0.7073155441465773,,,,0.7073155441465773,0.4315358635781576,0.8630717271563152,0.128345787525177,0.03576004270652609,0.008671155999763869,0.9913288440002361,1.0,0.6822514155467595,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0059,day2/members/stevan/11_0104.webp,development,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.9382634110286094,0.9942051569937185,0.00588391674682498,0.005106095679012346,0.006829876991105266,0.9931701230088947,1.0,0.9807960356094724,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy
MM2_0069,day2/members/bjorn/14_0689.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9445830577789361,,,,0.9445830577789361,0.3967743934644412,0.7935487869288824,0.1631639152765274,0.03492902211912615,0.008989157999167219,0.9910108420008328,1.0,0.7904249311288837,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0082,day2/members/cathal/17_0514.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9999121704602226,,,,0.9999121704602226,0.38231903257513444,0.7646380651502689,0.20570102334022522,0.13776959945224238,0.008597944004577585,0.9914020559954224,1.0,0.8137920006021939,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0084,day2/members/cathal/17_0470.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9997512151208794,,,,0.9997512151208794,0.3860484789922445,0.772096957984489,0.19301730394363403,0.14340803948423092,0.009023931008414365,0.9909760689915856,1.0,0.8147877581572716,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0085,day2/members/allie/18_0481.webp,development,text_present,screen_present,text_fill_screen_fill,0.0,0.0,0.0,0.0,,0.8242037255677244,0.9888507419055027,0.017022164538502693,0.0123798433024986,0.006697005999740213,0.9933029940002598,1.0,0.44659141707034333,,1.0,0.0,0.0,4.0,adaptive_multimodal_policy
MM2_0087,day2/members/cathal/18_0165.webp,test,screen_present,screen_present,text_fill_screen_fill,0.9868558183622482,,,,0.9868558183622482,0.3492330138482707,0.6984660276965414,0.2718031704425812,0.1524599213377188,0.00970967800822109,0.9902903219917789,1.0,0.7972268455347832,,0.0,2.0,0.0,2.0,adaptive_multimodal_policy
MM2_0088,day2/members/cathal/18_0330.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9975000318733908,,,,0.9975000318733908,0.36309729746453695,0.7261945949290739,0.2538934350013733,0.18682057556252993,0.009818569000344723,0.9901814309996553,1.0,0.8066973482760219,,0.0,1.0,0.0,4.0,adaptive_multimodal_policy
MM2_0092,day2/members/cathal/19_0230.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9678712943265082,,,,0.9678712943265082,0.34542746840825234,0.6908549368165047,0.28934699296951294,0.1863130058498277,0.009909174987114966,0.990090825012885,1.0,0.7865729701870182,,0.0,2.0,0.0,3.0,adaptive_multimodal_policy
MM2_0094,day2/members/stevan/20_0437.webp,development,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.7003608846255576,0.9842019187586376,0.02917400747537613,0.01431712962962963,0.007094232991221361,0.9929057670087786,1.0,0.9093988420885452,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy
MM2_0096,day2/members/werner/20_0510.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9971036305219888,,,,0.9971036305219888,0.4732079969875887,0.9464159939751774,0.050659652799367905,0.027291464310250882,0.0075299650052329525,0.992470034994767,1.0,0.8397612178567477,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0097,day2/members/werner/08_0068.webp,development,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.9484301259386119,0.9969813774561039,0.0050060562789440155,0.003460648148148148,0.007051050997688435,0.9929489490023116,1.0,0.9838239326818147,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy
MM2_0121,day3/members/stevan/14_0173.webp,test,screen_present,screen_present,text_fill_screen_fill,0.7138298656562851,,,,0.7138298656562851,0.4342338393351881,0.8684676786703762,0.10208024829626083,0.016673882344407698,0.008669586997712031,0.991330413002288,1.0,0.6863181259289278,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0122,day3/members/stevan/14_0466.webp,development,screen_present,screen_present,text_fill_screen_fill,0.5993896082193524,,,,0.5993896082193524,0.4610508709536107,0.9221017419072214,0.06315602362155914,0.037145373727442185,0.007713971004704945,0.992286028995295,1.0,0.6372386682952889,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0123,day3/members/stevan/14_0592.webp,development,screen_present,screen_present,text_fill_screen_fill,0.6928108020706207,,,,0.6928108020706207,0.45084080343317523,0.9016816068663505,0.0763266533613205,0.04598444930617611,0.007893264992162585,0.9921067350078374,1.0,0.6808683155660467,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0124,day3/members/stevan/14_0340.webp,test,screen_present,screen_present,text_fill_screen_fill,0.7059452217955913,,,,0.7059452217955913,0.46332490994450376,0.9266498198890075,0.060040183365345,0.009237327285708287,0.0077420269954018295,0.9922579730045982,1.0,0.6911958811816066,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0125,day3/members/onanong/15_0248.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9967569801955258,,,,0.9967569801955258,0.473656515278593,0.947313030557186,0.053630053997039795,0.010692799727725003,0.0072374070005025715,0.9927625929994974,1.0,0.8397517039812905,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0130,day3/members/allie/16_0285.webp,development,text_present,screen_present,text_fill_screen_fill,0.9503598647939191,1.0,0.9333333333333333,0.9900884382019528,,0.46542904768350146,0.9308580953670029,0.07332243025302887,0.020755539779930023,0.00775670500297565,0.9922432949970243,1.0,0.8140329762017123,,1.0,0.0,0.0,1.0,adaptive_multimodal_policy
MM2_0131,day3/members/allie/16_0332.webp,test,screen_present,screen_present,text_fill_screen_fill,0.9973094401695604,,,,0.9973094401695604,0.5521877210602428,0.9576626472205451,0.042664360255002975,0.017666020646284065,0.007196621998446062,0.9928033780015539,1.0,0.8635913742030085,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0135,day3/members/onanong/17_0461.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9528783781630765,,,,0.9528783781630765,0.975327410321702,0.9943557773828893,0.002185047836974263,0.0008408603900507229,0.006823276999057271,0.9931767230009427,1.0,0.968355084478143,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0141,day3/members/klaus/19_0688.webp,development,screen_present,screen_present,text_fill_screen_fill,0.8620618267898197,,,,0.8620618267898197,0.46474654584666397,0.9294930916933279,0.09644243866205215,0.010009293318042782,0.007710379009949975,0.99228962099005,1.0,0.7696838392479141,,0.0,2.0,0.0,2.0,adaptive_multimodal_policy
MM2_0145,day3/members/cathal/20_0075.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9998942409563502,,,,0.9998942409563502,0.416371147005075,0.83274229401015,0.18268373608589172,0.09263795891776685,0.008216342001105659,0.9917836579988943,1.0,0.824036830379587,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0146,day3/members/cathal/20_0121.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9998787014510067,,,,0.9998787014510067,0.41116406822406604,0.8223281364481321,0.18208526074886322,0.09352622656309303,0.008621093002147973,0.991378906997852,1.0,0.8224264618925083,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0164,day4/members/onanong/11_0715.webp,development,screen_present,screen_present,text_fill_screen_fill,0.7876431028064077,,,,0.7876431028064077,0.4454514988486031,0.8909029976972062,0.08413640409708023,0.07489932885906041,0.007749376003630459,0.9922506239963695,1.0,0.7266820634574217,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0171,day4/members/florian/13_0637.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9995814521561038,,,,0.9995814521561038,0.3748702116895936,0.7497404233791872,0.23486821353435516,0.15589017780776818,0.010882401998969726,0.9891175980010303,1.0,0.811163549385033,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0175,day4/members/luca/14_0595.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9510129755772116,,,,0.9510129755772116,0.3628507655113127,0.7257015310226254,0.22716978192329407,0.09800748991741885,0.012502218000008725,0.9874977819999913,1.0,0.7831114956419988,,0.0,1.0,0.0,4.0,adaptive_multimodal_policy
MM2_0198,day2/members/bjorn/15_0006.webp,test,screen_present,screen_present,text_fill_screen_fill,0.993806826278498,,,,0.993806826278498,0.3950270187107617,0.7900540374215234,0.16825321316719055,0.06578337644809358,0.009063197008799762,0.9909368029912002,1.0,0.8145051990515976,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0202,day1/members/klaus/10_0156.webp,test,screen_present,screen_present,text_fill_screen_fill,0.982236720895113,,,,0.982236720895113,0.3617762121909813,0.7235524243819625,0.2765572667121887,0.20757781571808964,0.011141500013764016,0.988858499986236,1.0,0.7985370741034745,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0209,day1/members/cathal/17_0621.webp,development,screen_present,screen_present,text_fill_screen_fill,0.7722645695533953,,,,0.7722645695533953,0.6894014928155994,0.962533735417099,0.029186537489295006,0.012665202635256539,0.007141107998904772,0.9928588920010952,1.0,0.792238621821487,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0212,day1/members/bjorn/20_0408.webp,development,screen_present,screen_present,text_fill_screen_fill,0.8089789806788958,,,,0.8089789806788958,0.4489540445555457,0.8979080891110914,0.09944873303174973,0.07064981244294559,0.007743715003016405,0.9922562849969836,1.0,0.73840133220581,,0.0,1.0,0.0,3.0,adaptive_multimodal_policy
MM2_0219,day2/members/onanong/14_0700.webp,test,no_text_screen_risk,screen_present,text_fill_screen_fill,1.0,,,,,0.9395268828507446,0.9908606054060026,0.0055903419852256775,0.007563657407407408,0.006831726001109928,0.9931682739988901,1.0,0.9811748922551123,,0.0,0.0,0.0,1.0,adaptive_multimodal_policy
MM2_0220,day2/members/allie/15_0719.webp,development,screen_present,screen_present,text_fill_screen_fill,0.0,,,,0.0,0.9030168154043225,0.993203130503946,0.009358474984765053,0.005445544554455445,0.006969706009840593,0.9930302939901594,1.0,0.4702080740203127,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0229,day3/members/cathal/11_0455.webp,development,screen_present,screen_present,text_fill_screen_fill,0.999636843870982,,,,0.999636843870982,0.4459067382644876,0.8918134765289752,0.10943138599395752,0.056558674375787335,0.007810959999915212,0.9921890400000848,1.0,0.8328093474148458,,0.0,1.0,0.0,2.0,adaptive_multimodal_policy
MM2_0239,day3/members/luca/08_0205.webp,development,screen_present,screen_present,text_fill_screen_fill,0.8794141524338754,,,,0.8794141524338754,0.4540838497477801,0.9081676994955602,0.06455554068088531,0.04528844437955257,0.0076400030084187165,0.9923599969915813,1.0,0.7751682308404299,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0243,day4/members/florian/12_0627.webp,test,screen_present,screen_present,text_fill_screen_fill,0.9998144487937162,,,,0.9998144487937162,0.42099066058038687,0.8419813211607737,0.1453745812177658,0.0840944110110185,0.007989175006514415,0.9920108249934856,1.0,0.8254055050703227,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0245,day4/members/florian/14_0024.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9995844148316634,,,,0.9995844148316634,0.39787115700488923,0.7957423140097785,0.19260017573833466,0.11160276779615716,0.008695930999238044,0.991304069000762,1.0,0.8182839614173747,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0248,day4/members/klaus/18_0374.webp,development,screen_present,screen_present,text_fill_screen_fill,0.9927952694551342,,,,0.9927952694551342,0.6606792971525215,0.951420220739369,0.03150308132171631,0.023565917808652095,0.007303666003281251,0.9926963339967187,1.0,0.8938710572729954,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0250,day4/members/bao/09_0349.webp,test,screen_present,screen_present,text_fill_screen_fill,0.9965294950237119,,,,0.9965294950237119,0.7633362933888614,0.9880658089905144,0.023069661110639572,0.0011808235806772909,0.007008526008576155,0.9929914739914238,1.0,0.9265647829276566,,0.0,1.0,0.0,1.0,adaptive_multimodal_policy
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_blur_screen_fill,0.0013329486651457057,0.0,0.0,0.004443162217152352,,0.4641153265710796,0.9282306531421592,0.0801362693309784,0.07162582884755905,0.008085736990324222,0.9919142630096758,1.0,0.33909249860486435,,1.0,0.0,8.0,1.0,adaptive_multimodal_policy
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_blur_screen_fill,0.9018323219037514,1.0,1.0,0.371787738476292,0.9921283222646151,0.4368663233764087,0.8737326467528174,0.1128651425242424,0.028342753787022383,0.01691760399262421,0.9830823960073758,1.0,0.7802842975655359,,1.0,1.0,162.0,1.0,adaptive_multimodal_policy
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,0.9996880444448759,,,,0.9996880444448759,0.5123692776271489,0.9534020176547342,0.04643317312002182,0.030895849369412042,0.009496067999862134,0.9905039320001379,1.0,0.8526051987105964,,0.0,1.0,1.0,2.0,adaptive_multimodal_policy
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,0.9914902351769643,,,,0.9914902351769643,0.5510144097449345,0.9597465123418892,0.04288588464260101,0.0323068728793498,0.011271893003140576,0.9887281069968594,1.0,0.8599222512116483,,0.0,1.0,1.0,1.0,adaptive_multimodal_policy
MM2_0013,day1/members/onanong/13_0656.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,0.989570093907837,,,,0.989570093907837,0.4119416117045512,0.8238832234091024,0.14286908507347107,0.08800950908306773,0.008287308010039851,0.9917126919899601,1.0,0.8175387996642798,,0.0,3.0,2.0,4.0,adaptive_multimodal_policy
MM2_0015,day1/members/werner/13_0227.webp,test,screen_present,text_and_screen_present,text_blur_screen_fill,0.9859043640485342,,,,0.9859043640485342,0.4736725162490953,0.942052452966521,0.04973537102341652,0.035438144329896906,0.00830541599134449,0.9916945840086555,1.0,0.8342233952998612,,0.0,1.0,4.0,1.0,adaptive_multimodal_policy
MM2_0017,day1/members/allie/14_0032.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,0.9596367434145048,,,,0.9596367434145048,0.7440894439701049,0.9833131074674543,0.02475671097636223,0.020157996686037013,0.011103604003437795,0.9888963959965622,1.0,0.90193484449794,,0.0,1.0,15.0,1.0,adaptive_multimodal_policy
MM2_0018,day1/members/cathal/14_0438.webp,development,text_present,text_and_screen_present,text_blur_screen_fill,0.9025681694374157,1.0,0.8848510095937792,0.9439082090725677,,0.42449723273650974,0.8489944654730195,0.13194279372692108,0.11542411418935389,0.008254886008217,0.991745113991783,1.0,0.777807765938839,,11.0,0.0,4.0,1.0,adaptive_multimodal_policy
