protocol_id,image_id,privacy_score,utility_score,predicted_risk_state,residual_risk_classes,adversarial_face_reid_concern,adversarial_ocr_concern,adversarial_screen_concern,vlm_proxy_any_sensitive_inference_risk,vlm_proxy_identity,vlm_proxy_text_document,vlm_proxy_screen,vlm_proxy_activity_context
MM2_0027,day1/members/florian/16_0046.webp,0.7978844249266132,0.3923469932925527,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0041,day1/members/florian/20_0272.webp,0.4429412287633832,0.3947816314174084,text_and_screen_present,OCR_TEXT_RECOVERY_RISK|UTILITY_COLLAPSE,False,True,False,True,False,True,False,False
MM2_0052,day1/members/onanong/09_0283.webp,0.9453754433401612,0.4877375591699079,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0060,day2/members/stevan/11_0245.webp,1.0,0.882857928626263,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0062,day2/members/luca/12_0322.webp,0.9056583759675012,0.3940696063390152,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0072,day2/members/bjorn/14_0374.webp,1.0,0.947357729519842,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0074,day2/members/klaus/15_0290.webp,0.9972101066084552,0.381167936819936,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0079,day2/members/allie/16_0461.webp,0.9992494700160762,0.3503743595503163,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0089,day2/members/cathal/19_0065.webp,0.8622374279259636,0.4698737837486459,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0102,day2/members/florian/09_0551.webp,0.7540326475482441,0.4329984955755785,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0107,day3/members/bjorn/10_0208.webp,0.7785662614509812,0.4626598499830061,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0109,day3/members/klaus/11_0126.webp,0.994055516396527,0.3008445721242738,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0111,day3/members/klaus/11_0085.webp,0.9538455168643304,0.317399491886783,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0116,day3/members/onanong/12_0079.webp,0.990995404026531,0.4662005103154014,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0134,day3/members/tien/17_0068.webp,0.9821642166565848,0.7180929657255939,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0142,day3/members/tien/19_0011.webp,0.99826924764766,0.4597183172472319,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0143,day3/members/cathal/19_0118.webp,0.7327793103799205,0.4579552437177513,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0144,day3/members/onanong/19_0470.webp,0.9248639588925038,0.4254622544537585,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0155,day3/members/cathal/09_0670.webp,0.5095317353832994,0.4293090437548318,text_and_screen_present,OCR_TEXT_RECOVERY_RISK|UTILITY_COLLAPSE,False,True,False,True,False,True,False,False
MM2_0172,day4/members/florian/13_0312.webp,0.9997890936008744,0.4020298990305142,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0174,day4/members/luca/14_0716.webp,0.9818226860282132,0.3487532329323851,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0177,day4/members/luca/15_0035.webp,0.9705989832729432,0.3636293955027813,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0179,day4/members/allie/15_0359.webp,1.0,0.4495117848670542,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0180,day4/members/luca/15_0400.webp,0.0,0.6755131191268078,text_and_screen_present,SCREEN_CONTENT_RESIDUAL,True,False,True,True,True,False,True,True
MM2_0183,day4/members/cathal/18_0491.webp,0.5100320637775415,0.7235624986734897,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0191,day4/members/klaus/09_0177.webp,0.999433633419662,0.4325023505349419,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0195,day2/members/werner/13_0638.webp,0.9700956593511706,0.3630291474181999,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0205,day1/members/onanong/13_0368.webp,0.9817739675692676,0.6676892273889443,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0214,day1/members/cathal/09_0716.webp,0.9990262255541577,0.4596181650486917,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0215,day2/members/tien/10_0260.webp,0.9051914069368938,0.452480053656665,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0216,day2/members/klaus/11_0708.webp,0.9988505333889696,0.5707342021658406,text_and_screen_present,NONE,False,False,False,False,False,False,False,False
MM2_0217,day2/members/luca/12_0426.webp,0.9995039204717447,0.4149728956597934,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0242,day4/members/cathal/11_0445.webp,0.999073344706171,0.4392515623194255,text_and_screen_present,UTILITY_COLLAPSE,False,False,False,False,False,False,False,False
MM2_0023,day1/members/onanong/15_0421.webp,0.0,0.9877621603962476,text_present,OCR_TEXT_RECOVERY_RISK,True,True,False,True,True,True,False,True
MM2_0030,day1/members/cathal/17_0482.webp,0.0,0.9259140599219976,text_present,OCR_TEXT_RECOVERY_RISK,True,True,False,True,True,True,False,True
MM2_0090,day2/members/allie/19_0540.webp,1.0,0.9960197932593716,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0098,day2/members/luca/08_0586.webp,0.8305388701067649,0.9733479707177596,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0100,day2/members/luca/08_0482.webp,1.0,0.9695802918786808,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0128,day3/members/cathal/15_0532.webp,0.0020590267890916,0.754720752766272,text_present,OCR_TEXT_RECOVERY_RISK,True,True,False,True,True,True,False,True
MM2_0138,day3/members/onanong/18_0537.webp,0.7988387644837914,0.8884453154732763,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0140,day3/members/onanong/18_0711.webp,0.8060236981637339,0.8916402282478721,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0149,day3/members/luca/08_0665.webp,1.0,0.9658080343505456,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0208,day1/members/klaus/16_0701.webp,1.0,0.972117196145564,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0218,day2/members/tien/13_0711.webp,1.0,0.9878380473377046,text_present,NONE,False,False,False,False,False,False,False,False
MM2_0227,day2/members/luca/09_0121.webp,0.7848778296206242,0.934260568271302,text_present,NONE,False,False,False,False,False,False,False,False
