negative_pair_id,positive_pair_id,egocentric_relative_path,exocentric_relative_path,negative_pair_construction,day_id,note
neg-0018,day1::13_0028::onanong::living2,day1/members/onanong/13_0028.webp,day1/fixed/living2/13_0028.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0019,day1::14_0013::florian::living2,day1/members/florian/14_0013.webp,day1/fixed/living2/14_0013.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0020,day1::14_0511::tien::living2,day1/members/tien/14_0511.webp,day1/fixed/living2/14_0511.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0021,day1::15_0404::florian::living2,day1/members/florian/15_0404.webp,day1/fixed/living2/15_0404.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0022,day1::17_0277::stevan::living2,day1/members/stevan/17_0277.webp,day1/fixed/living2/17_0277.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0023,day1::17_0393::klaus::living2,day1/members/klaus/17_0393.webp,day1/fixed/living2/17_0393.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0024,day1::19_0125::tien::living2,day1/members/tien/19_0125.webp,day1/fixed/living2/19_0125.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0025,day1::08_0496::onanong::meeting,day1/members/onanong/08_0496.webp,day1/fixed/meeting/08_0496.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0026,day1::09_0425::werner::meeting,day1/members/werner/09_0425.webp,day1/fixed/meeting/09_0425.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0027,day1::11_0048::florian::meeting,day1/members/florian/11_0048.webp,day1/fixed/meeting/11_0048.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0028,day1::14_0637::onanong::meeting,day1/members/onanong/14_0637.webp,day1/fixed/meeting/14_0637.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0029,day1::18_0019::florian::meeting,day1/members/florian/18_0019.webp,day1/fixed/meeting/18_0019.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0030,day1::18_0020::cathal::meeting,day1/members/cathal/18_0020.webp,day1/fixed/meeting/18_0020.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0031,day1::19_0415::werner::meeting,day1/members/werner/19_0415.webp,day1/fixed/meeting/19_0415.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0032,day1::12_0631::cathal::reading,day1/members/cathal/12_0631.webp,day1/fixed/reading/12_0631.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0033,day1::18_0186::onanong::reading,day1/members/onanong/18_0186.webp,day1/fixed/reading/18_0186.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0034,day1::18_0442::cathal::reading,day1/members/cathal/18_0442.webp,day1/fixed/reading/18_0442.webp,embedded_control_pair_from_existing_proxy_run,day1,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0035,day2::12_0576::klaus::kitchen,day2/members/klaus/12_0576.webp,day2/fixed/kitchen/12_0576.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0036,day2::16_0532::werner::kitchen,day2/members/werner/16_0532.webp,day2/fixed/kitchen/16_0532.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0037,day2::18_0131::werner::kitchen,day2/members/werner/18_0131.webp,day2/fixed/kitchen/18_0131.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0038,day2::18_0473::cathal::kitchen,day2/members/cathal/18_0473.webp,day2/fixed/kitchen/18_0473.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0039,day2::19_0715::luca::kitchen,day2/members/luca/19_0715.webp,day2/fixed/kitchen/19_0715.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0040,day2::12_0284::onanong::living1,day2/members/onanong/12_0284.webp,day2/fixed/living1/12_0284.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0041,day2::12_0490::werner::living1,day2/members/werner/12_0490.webp,day2/fixed/living1/12_0490.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0042,day2::12_0579::werner::living1,day2/members/werner/12_0579.webp,day2/fixed/living1/12_0579.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0043,day2::14_0689::werner::living1,day2/members/werner/14_0689.webp,day2/fixed/living1/14_0689.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0044,day2::15_0205::werner::living1,day2/members/werner/15_0205.webp,day2/fixed/living1/15_0205.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0045,day2::17_0415::klaus::living1,day2/members/klaus/17_0415.webp,day2/fixed/living1/17_0415.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0046,day2::18_0360::cathal::living1,day2/members/cathal/18_0360.webp,day2/fixed/living1/18_0360.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0047,day2::19_0484::bjorn::living1,day2/members/bjorn/19_0484.webp,day2/fixed/living1/19_0484.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0048,day2::20_0267::cathal::living1,day2/members/cathal/20_0267.webp,day2/fixed/living1/20_0267.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0049,day2::20_0422::florian::living1,day2/members/florian/20_0422.webp,day2/fixed/living1/20_0422.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0050,day2::10_0682::florian::living2,day2/members/florian/10_0682.webp,day2/fixed/living2/10_0682.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0051,day2::11_0598::stevan::living2,day2/members/stevan/11_0598.webp,day2/fixed/living2/11_0598.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0052,day2::12_0282::bjorn::living2,day2/members/bjorn/12_0282.webp,day2/fixed/living2/12_0282.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0053,day2::12_0440::werner::living2,day2/members/werner/12_0440.webp,day2/fixed/living2/12_0440.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0054,day2::13_0460::werner::living2,day2/members/werner/13_0460.webp,day2/fixed/living2/13_0460.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0055,day2::14_0571::allie::living2,day2/members/allie/14_0571.webp,day2/fixed/living2/14_0571.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0056,day2::15_0660::onanong::living2,day2/members/onanong/15_0660.webp,day2/fixed/living2/15_0660.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0057,day2::18_0094::tien::living2,day2/members/tien/18_0094.webp,day2/fixed/living2/18_0094.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0058,day2::10_0655::stevan::meeting,day2/members/stevan/10_0655.webp,day2/fixed/meeting/10_0655.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0059,day2::11_0008::florian::meeting,day2/members/florian/11_0008.webp,day2/fixed/meeting/11_0008.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0060,day2::11_0117::luca::meeting,day2/members/luca/11_0117.webp,day2/fixed/meeting/11_0117.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0061,day2::11_0447::werner::meeting,day2/members/werner/11_0447.webp,day2/fixed/meeting/11_0447.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0062,day2::11_0510::bjorn::meeting,day2/members/bjorn/11_0510.webp,day2/fixed/meeting/11_0510.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0063,day2::14_0197::onanong::meeting,day2/members/onanong/14_0197.webp,day2/fixed/meeting/14_0197.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0064,day2::20_0089::cathal::meeting,day2/members/cathal/20_0089.webp,day2/fixed/meeting/20_0089.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0065,day2::20_0669::cathal::meeting,day2/members/cathal/20_0669.webp,day2/fixed/meeting/20_0669.webp,embedded_control_pair_from_existing_proxy_run,day2,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0066,day3::13_0169::luca::kitchen,day3/members/luca/13_0169.webp,day3/fixed/kitchen/13_0169.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0067,day3::15_0224::werner::kitchen,day3/members/werner/15_0224.webp,day3/fixed/kitchen/15_0224.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0068,day3::17_0218::cathal::kitchen,day3/members/cathal/17_0218.webp,day3/fixed/kitchen/17_0218.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0069,day3::17_0224::cathal::kitchen,day3/members/cathal/17_0224.webp,day3/fixed/kitchen/17_0224.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0070,day3::18_0553::werner::kitchen,day3/members/werner/18_0553.webp,day3/fixed/kitchen/18_0553.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0071,day3::20_0166::bjorn::kitchen,day3/members/bjorn/20_0166.webp,day3/fixed/kitchen/20_0166.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0072,day3::08_0595::luca::living1,day3/members/luca/08_0595.webp,day3/fixed/living1/08_0595.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0073,day3::09_0168::luca::living1,day3/members/luca/09_0168.webp,day3/fixed/living1/09_0168.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0074,day3::10_0559::tien::living1,day3/members/tien/10_0559.webp,day3/fixed/living1/10_0559.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0075,day3::10_0654::stevan::living1,day3/members/stevan/10_0654.webp,day3/fixed/living1/10_0654.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0076,day3::11_0713::tien::living1,day3/members/tien/11_0713.webp,day3/fixed/living1/11_0713.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0077,day3::14_0314::bjorn::living1,day3/members/bjorn/14_0314.webp,day3/fixed/living1/14_0314.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0078,day3::16_0218::tien::living1,day3/members/tien/16_0218.webp,day3/fixed/living1/16_0218.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
neg-0079,day3::18_0703::cathal::living1,day3/members/cathal/18_0703.webp,day3/fixed/living1/18_0703.webp,embedded_control_pair_from_existing_proxy_run,day3,Negative/control similarity already present in existing cross-view proxy artifacts.
