method,protocol,image_id,relative_path,gt_index,x1,y1,x2,y2,best_candidate_iou,best_candidate_source,best_candidate_score,recoverable_at_iou_0_5,recoverable_at_iou_0_4,recoverable_at_iou_0_3,face_count_category,face_scale_category,edge_partial_face,blur_low_sharpness,clutter_level
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/allie/12_0583.webp,day3/members/allie/12_0583.webp,0,3360,699,3621,1008,0.637512,yolo11n_pose_widerface_640,0.380799,1,1,1,single_face,medium,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/18_0105.webp,day3/members/bjorn/18_0105.webp,6,2015,554,2044,592,0.726872,sliced_yolo11s_widerface_1280,0.672959,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/bjorn/19_0281.webp,day2/members/bjorn/19_0281.webp,1,757,695,1958,2157,0.949676,yolo11s_widerface_640,0.881523,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/onanong/10_0685.webp,day4/members/onanong/10_0685.webp,7,2991,684,3120,835,0.844243,yolo11n_pose_widerface_640,0.670458,1,1,1,multi_face,small,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/tien/14_0528.webp,day3/members/tien/14_0528.webp,3,1811,1821,1935,1992,0.471845,yolo11s_widerface_1280,0.605967,0,1,1,multi_face,small,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/luca/10_0442.webp,day4/members/luca/10_0442.webp,0,3015,1416,3693,2142,0.361698,rfdetr_medium_face_030,0.771728,0,0,1,single_face,large,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bjorn/11_0562.webp,day4/members/bjorn/11_0562.webp,6,363,1190,432,1331,0.0,,0.0,0,0,0,multi_face,small,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/10_0469.webp,day1/members/bjorn/10_0469.webp,7,3545,629,3640,771,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/onanong/10_0607.webp,day2/members/onanong/10_0607.webp,6,762,1473,954,1902,0.571508,yolo11s_widerface_640,0.606401,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/werner/18_0572.webp,day1/members/werner/18_0572.webp,5,3666,1377,3837,1746,0.58729,rfdetr_medium_face_030,0.344931,1,1,1,multi_face,small,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/werner/13_0541.webp,day1/members/werner/13_0541.webp,0,3060,354,3576,1032,0.526287,rfdetr_medium_face_030,0.654449,1,1,1,single_face,large,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/luca/08_0403.webp,day3/members/luca/08_0403.webp,0,942,537,1212,967,0.54805,yolo11n_pose_widerface_640,0.61493,1,1,1,single_face,medium,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/14_0337.webp,day1/members/bjorn/14_0337.webp,5,267,1398,576,1950,0.592122,yolo8s_widerface_repo_640,0.72166,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/14_0337.webp,day1/members/bjorn/14_0337.webp,6,3435,213,3528,318,0.206452,sliced_yolo11s_widerface_1280,0.653822,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/13_0090.webp,day3/members/bjorn/13_0090.webp,0,169,1545,200,1592,0.0,,0.0,0,0,0,single_face,very_small_or_distant,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/klaus/18_0030.webp,day3/members/klaus/18_0030.webp,6,2686,98,2717,140,0.967742,yolo11s_widerface_1280,0.471919,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/18_0721.webp,day2/members/allie/18_0721.webp,4,2054,553,2192,731,0.46838,rfdetr_medium_face_030,0.359414,0,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/klaus/13_0029.webp,day2/members/klaus/13_0029.webp,1,3339,357,3648,840,0.0,,0.0,0,0,0,multi_face,medium,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/17_0553.webp,day1/members/bjorn/17_0553.webp,4,162,1005,612,1374,0.389341,rfdetr_medium_face_030,0.603038,0,0,1,multi_face,mixed_scale,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/allie/18_0187.webp,day3/members/allie/18_0187.webp,3,9,1341,210,1773,0.555863,sliced_yolo11s_widerface_1280,0.401788,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/onanong/10_0245.webp,day1/members/onanong/10_0245.webp,4,399,539,427,574,0.832653,sliced_yolo11s_widerface_1280,0.731308,1,1,1,multi_face,mixed_scale,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/10_0697.webp,day1/members/bjorn/10_0697.webp,7,2976,609,3087,756,0.273485,yolo11n_pose_widerface_640,0.254559,0,0,0,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/luca/16_0111.webp,day2/members/luca/16_0111.webp,0,649,0,861,186,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/luca/16_0111.webp,day2/members/luca/16_0111.webp,1,1336,1148,1378,1203,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/bjorn/20_0157.webp,day1/members/bjorn/20_0157.webp,5,1245,823,1329,935,0.817971,yolo11n_pose_widerface_640,0.376566,1,1,1,multi_face,mixed_scale,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/bjorn/14_0229.webp,day2/members/bjorn/14_0229.webp,3,3714,270,3838,541,0.0,,0.0,0,0,0,multi_face,medium,yes,yes,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/bjorn/14_0229.webp,day2/members/bjorn/14_0229.webp,4,1428,12,1758,210,0.330271,rfdetr_medium_face_030,0.551291,0,0,1,multi_face,medium,yes,yes,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/stevan/09_0680.webp,day4/members/stevan/09_0680.webp,1,492,624,642,750,0.290745,sliced_yolo11s_widerface_1280,0.608229,0,0,0,multi_face,very_small_or_distant,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/12_0584.webp,day2/members/allie/12_0584.webp,0,126,311,308,515,0.0,,0.0,0,0,0,single_face,small,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/stevan/10_0599.webp,day3/members/stevan/10_0599.webp,5,1957,1292,2001,1345,0.0,,0.0,0,0,0,multi_face,mixed_scale,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/allie/13_0349.webp,day3/members/allie/13_0349.webp,0,2661,3,3204,219,0.581568,sliced_yolo11s_widerface_1280,0.749496,1,1,1,single_face,small,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/stevan/08_0479.webp,day1/members/stevan/08_0479.webp,0,3777,1164,3832,1695,0.0,,0.0,0,0,0,single_face,small,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/tien/20_0293.webp,day2/members/tien/20_0293.webp,4,494,1275,595,1412,0.459171,yolo11s_widerface_640,0.264431,0,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/onanong/13_0124.webp,day1/members/onanong/13_0124.webp,1,9,681,141,1311,0.328124,sliced_yolo11s_widerface_1280,0.492223,0,0,1,multi_face,medium,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/11_0369.webp,day1/members/luca/11_0369.webp,0,405,1557,1683,2157,0.344492,rfdetr_medium_face_030,0.879137,0,0,1,single_face,large,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/10_0363.webp,day2/members/werner/10_0363.webp,1,837,1449,1203,1596,0.453258,rfdetr_medium_face_030,0.359365,0,1,1,multi_face,small,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/tien/17_0065.webp,day1/members/tien/17_0065.webp,2,1782,1881,1989,2007,0.441454,yolo8s_widerface_repo_640,0.272413,0,1,1,multi_face,small,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/12_0551.webp,day2/members/werner/12_0551.webp,2,2745,687,3060,1044,0.514979,yolo11s_widerface_640,0.753565,1,1,1,multi_face,medium,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/tien/08_0498.webp,day3/members/tien/08_0498.webp,2,1203,1536,1302,1635,0.642063,yolo11n_pose_widerface_640,0.322264,1,1,1,multi_face,very_small_or_distant,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/13_0134.webp,day3/members/bjorn/13_0134.webp,0,3263,739,3320,804,0.0,,0.0,0,0,0,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/13_0134.webp,day3/members/bjorn/13_0134.webp,1,2763,1320,3147,1542,0.648737,yolo8s_widerface_repo_640,0.649141,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/werner/08_0670.webp,day3/members/werner/08_0670.webp,1,276,1107,444,1251,0.467593,yolo8s_widerface_repo_640,0.413859,0,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/14_0258.webp,day1/members/luca/14_0258.webp,4,2407,0,2445,45,0.978261,sliced_yolo11s_widerface_1280,0.779343,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/cathal/10_0702.webp,day2/members/cathal/10_0702.webp,0,708,1473,820,1619,0.821794,rfdetr_medium_face_030,0.538402,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/cathal/10_0702.webp,day2/members/cathal/10_0702.webp,1,1567,1082,1767,1287,0.670253,rfdetr_medium_face_030,0.384631,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/cathal/10_0702.webp,day2/members/cathal/10_0702.webp,2,2179,763,2368,962,0.706602,rfdetr_medium_face_030,0.526043,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/cathal/10_0702.webp,day2/members/cathal/10_0702.webp,4,63,1683,231,1824,0.507078,rfdetr_medium_face_030,0.306685,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/11_0315.webp,day3/members/cathal/11_0315.webp,2,3647,1967,3704,2025,0.014499,sliced_yolo11s_widerface_1280,0.59536,0,0,0,multi_face,small,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bao/10_0378.webp,day4/members/bao/10_0378.webp,5,0,841,72,1154,0.424147,yolo11s_widerface_640,0.288977,0,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/10_0242.webp,day2/members/allie/10_0242.webp,5,2102,1686,2195,1777,0.50823,yolo11s_widerface_640,0.532102,1,1,1,multi_face,mixed_scale,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/10_0242.webp,day2/members/allie/10_0242.webp,6,3639,1695,3828,2028,0.760825,yolo8s_widerface_repo_640,0.459236,1,1,1,multi_face,mixed_scale,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/florian/10_0569.webp,day4/members/florian/10_0569.webp,3,325,895,440,1027,0.016168,yolo11s_widerface_1280,0.856377,0,0,0,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/florian/10_0569.webp,day4/members/florian/10_0569.webp,4,3109,1278,3189,1336,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/stevan/20_0703.webp,day3/members/stevan/20_0703.webp,7,1674,489,1777,643,0.65439,rfdetr_medium_face_030,0.551418,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/onanong/10_0145.webp,day1/members/onanong/10_0145.webp,4,522,492,548,525,0.808977,sliced_yolo11s_widerface_1280,0.754672,1,1,1,multi_face,mixed_scale,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/florian/18_0291.webp,day3/members/florian/18_0291.webp,6,1905,589,1974,696,0.91058,yolo11s_widerface_1280,0.801208,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/florian/18_0291.webp,day3/members/florian/18_0291.webp,7,2765,450,2793,483,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/11_0712.webp,day3/members/bjorn/11_0712.webp,2,3174,903,3396,1356,0.467055,yolo8s_widerface_repo_640,0.640147,0,1,1,multi_face,medium,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/09_0659.webp,day3/members/cathal/09_0659.webp,2,0,1356,210,1788,0.746429,rfdetr_medium_face_030,0.408622,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/09_0659.webp,day3/members/cathal/09_0659.webp,3,234,1482,384,1659,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/09_0659.webp,day3/members/cathal/09_0659.webp,4,189,1128,291,1245,0.229931,rfdetr_medium_face_030,0.463594,0,0,0,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/onanong/10_0458.webp,day3/members/onanong/10_0458.webp,0,42,903,327,1095,0.512459,scrfd_10g_current_640,0.541979,1,1,1,single_face,small,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/10_0575.webp,day3/members/cathal/10_0575.webp,1,2133,456,2226,534,0.493107,yolo8s_widerface_repo_640,0.425994,0,1,1,multi_face,very_small_or_distant,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/stevan/11_0697.webp,day4/members/stevan/11_0697.webp,4,1787,844,1813,878,0.798283,sliced_yolo11s_widerface_1280,0.735308,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/klaus/16_0309.webp,day2/members/klaus/16_0309.webp,0,1944,15,2268,75,0.535741,rfdetr_medium_face_030,0.458609,1,1,1,single_face,very_small_or_distant,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/werner/15_0522.webp,day1/members/werner/15_0522.webp,5,1870,675,1972,787,0.928571,yolo8s_widerface_repo_640,0.806668,1,1,1,multi_face,mixed_scale,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/allie/11_0489.webp,day4/members/allie/11_0489.webp,4,1781,556,1816,596,0.877122,sliced_yolo11s_widerface_1280,0.736144,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/10_0448.webp,day3/members/bjorn/10_0448.webp,1,783,1260,912,1365,0.537313,yolo8s_widerface_repo_640,0.514754,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/allie/15_0479.webp,day1/members/allie/15_0479.webp,5,2426,1144,2559,1288,0.828477,yolo11s_widerface_1280,0.848919,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/allie/15_0479.webp,day1/members/allie/15_0479.webp,6,1826,684,1852,719,0.703297,sliced_yolo11s_widerface_1280,0.203285,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/19_0554.webp,day2/members/allie/19_0554.webp,4,1356,906,1488,1014,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/19_0554.webp,day2/members/allie/19_0554.webp,5,552,894,723,1089,0.583931,sliced_yolo11s_widerface_1280,0.27002,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/allie/19_0554.webp,day2/members/allie/19_0554.webp,6,3,879,282,1293,0.629032,yolo11n_pose_widerface_640,0.445608,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bao/12_0200.webp,day4/members/bao/12_0200.webp,3,2929,1540,3029,1705,0.624756,sliced_yolo11s_widerface_1280,0.548199,1,1,1,multi_face,mixed_scale,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/luca/18_0349.webp,day2/members/luca/18_0349.webp,2,3297,942,3438,1197,0.555095,yolo11s_widerface_640,0.5276,1,1,1,multi_face,small,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/13_0517.webp,day2/members/werner/13_0517.webp,0,1478,1178,2580,1495,0.484247,rfdetr_medium_face_030,0.626099,0,1,1,single_face,medium,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bao/10_0629.webp,day4/members/bao/10_0629.webp,8,3654,864,3834,1002,0.445152,yolo8s_widerface_repo_640,0.403798,0,1,1,multi_face,mixed_scale,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/13_0153.webp,day2/members/werner/13_0153.webp,1,2856,324,2982,531,0.0,,0.0,0,0,0,multi_face,medium,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/13_0153.webp,day2/members/werner/13_0153.webp,2,1878,1305,2199,1536,0.247603,yolo11s_widerface_1280,0.592608,0,0,0,multi_face,medium,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/cathal/20_0086.webp,day2/members/cathal/20_0086.webp,3,2814,1350,2967,1536,0.60381,rfdetr_medium_face_030,0.387096,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/cathal/20_0086.webp,day3/members/cathal/20_0086.webp,1,608,714,705,823,0.86735,yolo11n_pose_widerface_640,0.30456,1,1,1,multi_face,small,yes,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/cathal/14_0428.webp,day1/members/cathal/14_0428.webp,0,117,795,972,1431,0.519865,rfdetr_medium_face_030,0.867723,1,1,1,multi_face,mixed_scale,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/cathal/14_0428.webp,day1/members/cathal/14_0428.webp,3,1692,285,1884,420,0.586957,rfdetr_medium_face_030,0.33352,1,1,1,multi_face,mixed_scale,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/cathal/14_0428.webp,day1/members/cathal/14_0428.webp,4,2052,141,2184,270,0.412047,yolo8s_widerface_repo_640,0.25011,0,1,1,multi_face,mixed_scale,no,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bjorn/12_0718.webp,day4/members/bjorn/12_0718.webp,6,753,1199,845,1328,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bjorn/12_0718.webp,day4/members/bjorn/12_0718.webp,7,18,1644,355,2002,0.636953,rfdetr_medium_face_030,0.484738,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/14_0319.webp,day2/members/werner/14_0319.webp,7,1660,650,1686,685,0.740385,yolo11s_widerface_1280,0.258847,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/14_0319.webp,day2/members/werner/14_0319.webp,8,3294,1254,3409,1428,0.886792,yolo11n_pose_widerface_640,0.733433,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day2/members/werner/14_0319.webp,day2/members/werner/14_0319.webp,10,1953,1059,2030,1185,0.791574,yolo11s_widerface_640,0.711828,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/bjorn/10_0177.webp,day3/members/bjorn/10_0177.webp,2,3480,845,3630,1037,0.0,,0.0,0,0,0,multi_face,medium,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/bjorn/10_0705.webp,day4/members/bjorn/10_0705.webp,5,0,1652,304,2157,0.717309,rfdetr_medium_face_030,0.508818,1,1,1,multi_face,mixed_scale,yes,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/werner/20_0497.webp,day1/members/werner/20_0497.webp,1,3002,727,3297,1119,0.5,scrfd_10g_current_640,0.681682,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/werner/20_0497.webp,day1/members/werner/20_0497.webp,2,2904,729,3051,873,0.512944,sliced_yolo11s_widerface_1280,0.364224,1,1,1,multi_face,mixed_scale,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/klaus/08_0262.webp,day1/members/klaus/08_0262.webp,0,900,159,994,244,0.0,,0.0,0,0,0,single_face,very_small_or_distant,no,no,high
