method,protocol,image_id,relative_path,x1,y1,x2,y2,score,source_detector,face_count_category,face_scale_category,edge_partial_face,blur_low_sharpness,clutter_level
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/stevan/10_0564.webp,day1/members/stevan/10_0564.webp,74,1819,439,2158,0.40903,error_hardened_all_raw_rf_iou0_45,multi_face,very_small_or_distant,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/bjorn/14_0229.webp,day2/members/bjorn/14_0229.webp,1468,4,1618,154,0.494169,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,yes,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/stevan/09_0680.webp,day4/members/stevan/09_0680.webp,523,670,589,755,0.837169,error_hardened_all_raw_rf_iou0_45,multi_face,very_small_or_distant,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/stevan/09_0680.webp,day4/members/stevan/09_0680.webp,28,783,93,864,0.656,error_hardened_all_raw_rf_iou0_45,multi_face,very_small_or_distant,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/werner/13_0338.webp,day3/members/werner/13_0338.webp,3674,26,3839,687,0.794328,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/tien/20_0293.webp,day2/members/tien/20_0293.webp,498,1322,594,1467,0.488647,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/16_0185.webp,day2/members/allie/16_0185.webp,2429,1166,2476,1226,0.442834,error_hardened_all_raw_rf_iou0_45,single_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/onanong/13_0124.webp,day1/members/onanong/13_0124.webp,0,824,81,1187,0.799907,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/10_0629.webp,day2/members/allie/10_0629.webp,2133,1699,2239,1813,0.434311,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/luca/11_0369.webp,day1/members/luca/11_0369.webp,756,1786,1470,2160,0.566988,error_hardened_all_raw_rf_iou0_45,single_face,large,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/werner/12_0551.webp,day2/members/werner/12_0551.webp,2769,795,3002,1018,0.934047,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/werner/08_0670.webp,day3/members/werner/08_0670.webp,308,1117,407,1226,0.38184,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/florian/10_0139.webp,day2/members/florian/10_0139.webp,2684,389,2728,437,0.432561,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,yes,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/bao/10_0378.webp,day4/members/bao/10_0378.webp,0,872,82,1535,0.727104,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/10_0242.webp,day2/members/allie/10_0242.webp,2145,1683,2202,1782,0.774334,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/10_0242.webp,day2/members/allie/10_0242.webp,2730,1704,2791,1811,0.648782,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/florian/12_0680.webp,day4/members/florian/12_0680.webp,2375,259,2442,341,0.458528,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/onanong/10_0458.webp,day3/members/onanong/10_0458.webp,83,933,225,1093,0.868242,error_hardened_all_raw_rf_iou0_45,single_face,small,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/19_0554.webp,day2/members/allie/19_0554.webp,609,920,716,1069,0.951319,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/allie/19_0554.webp,day2/members/allie/19_0554.webp,36,928,233,1214,0.886532,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/tien/14_0509.webp,day2/members/tien/14_0509.webp,2369,1129,2440,1240,0.54412,error_hardened_all_raw_rf_iou0_45,multi_face,very_small_or_distant,no,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/werner/12_0580.webp,day4/members/werner/12_0580.webp,3613,1084,3840,1289,0.384259,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/luca/18_0349.webp,day2/members/luca/18_0349.webp,3307,880,3500,1172,0.514389,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/florian/10_0186.webp,day1/members/florian/10_0186.webp,3396,780,3481,903,0.762447,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/florian/10_0186.webp,day1/members/florian/10_0186.webp,3717,1210,3839,1654,0.364257,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/cathal/14_0428.webp,day1/members/cathal/14_0428.webp,438,711,963,1348,0.913538,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/allie/11_0484.webp,day3/members/allie/11_0484.webp,2975,1339,3248,1828,0.458819,error_hardened_all_raw_rf_iou0_45,multi_face,medium,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/klaus/14_0291.webp,day2/members/klaus/14_0291.webp,3314,1951,3531,2158,0.370209,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/werner/20_0497.webp,day1/members/werner/20_0497.webp,3007,742,3177,1025,0.984525,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/allie/09_0553.webp,day4/members/allie/09_0553.webp,0,1639,105,1976,0.732458,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/klaus/11_0237.webp,day4/members/klaus/11_0237.webp,1400,1119,1486,1238,0.525632,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/cathal/19_0354.webp,day3/members/cathal/19_0354.webp,3460,810,3586,1023,0.470125,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/cathal/13_0464.webp,day4/members/cathal/13_0464.webp,163,1413,346,1780,0.508152,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/cathal/13_0464.webp,day4/members/cathal/13_0464.webp,110,1242,286,1436,0.460438,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/bao/14_0218.webp,day4/members/bao/14_0218.webp,1082,1254,1347,1819,0.778673,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/onanong/19_0588.webp,day1/members/onanong/19_0588.webp,3334,1599,3384,1663,0.511222,error_hardened_all_raw_rf_iou0_45,single_face,very_small_or_distant,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/werner/19_0423.webp,day2/members/werner/19_0423.webp,71,632,219,786,0.445041,error_hardened_all_raw_rf_iou0_45,single_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day2/members/tien/14_0263.webp,day2/members/tien/14_0263.webp,3787,865,3840,1172,0.532863,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/bjorn/15_0160.webp,day1/members/bjorn/15_0160.webp,2023,1362,2171,1509,0.94744,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/cathal/20_0005.webp,day3/members/cathal/20_0005.webp,555,957,614,1034,0.488238,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/luca/10_0418.webp,day4/members/luca/10_0418.webp,2445,1089,2734,1545,0.589819,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/werner/11_0251.webp,day4/members/werner/11_0251.webp,3594,1972,3839,2159,0.817009,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,no,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/tien/10_0512.webp,day3/members/tien/10_0512.webp,116,1493,344,1778,0.982801,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/allie/12_0604.webp,day4/members/allie/12_0604.webp,1495,841,2025,1347,0.969245,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/stevan/09_0286.webp,day3/members/stevan/09_0286.webp,2574,1456,2733,1751,0.965483,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/stevan/09_0286.webp,day3/members/stevan/09_0286.webp,1388,1071,1509,1184,0.819857,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/tien/20_0434.webp,day3/members/tien/20_0434.webp,710,2072,847,2159,0.809979,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/werner/12_0528.webp,day4/members/werner/12_0528.webp,1452,900,1534,1001,0.347282,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/werner/12_0528.webp,day4/members/werner/12_0528.webp,469,1480,508,1530,0.336445,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/onanong/15_0413.webp,day3/members/onanong/15_0413.webp,903,6,959,68,0.94172,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/onanong/15_0413.webp,day3/members/onanong/15_0413.webp,418,33,473,103,0.906742,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/onanong/15_0413.webp,day3/members/onanong/15_0413.webp,620,22,675,88,0.776495,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/werner/18_0672.webp,day4/members/werner/18_0672.webp,2913,414,3025,550,0.999123,error_hardened_all_raw_rf_iou0_45,multi_face,medium,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/luca/11_0126.webp,day3/members/luca/11_0126.webp,1302,0,1668,127,0.468963,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/cathal/19_0687.webp,day2/members/cathal/19_0687.webp,1860,827,1991,994,0.986423,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/luca/18_0040.webp,day1/members/luca/18_0040.webp,3729,464,3839,845,0.572938,error_hardened_all_raw_rf_iou0_45,single_face,medium,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/tien/20_0155.webp,day3/members/tien/20_0155.webp,3206,1074,3336,1238,0.935971,error_hardened_all_raw_rf_iou0_45,multi_face,medium,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/florian/12_0020.webp,day2/members/florian/12_0020.webp,802,1237,1132,1589,0.560732,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/allie/14_0135.webp,day1/members/allie/14_0135.webp,1973,970,2025,1034,0.451326,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/bjorn/15_0004.webp,day1/members/bjorn/15_0004.webp,3786,693,3840,974,0.513022,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/cathal/08_0346.webp,day1/members/cathal/08_0346.webp,2165,745,2314,912,0.965265,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/tien/19_0311.webp,day2/members/tien/19_0311.webp,3593,986,3748,1221,0.420452,error_hardened_all_raw_rf_iou0_45,multi_face,medium,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/bjorn/18_0629.webp,day3/members/bjorn/18_0629.webp,1509,551,1576,653,0.985572,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/klaus/09_0114.webp,day1/members/klaus/09_0114.webp,3267,113,3349,245,0.972397,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/bao/11_0549.webp,day4/members/bao/11_0549.webp,2897,1575,2995,1712,0.6272,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/allie/12_0570.webp,day3/members/allie/12_0570.webp,2440,822,2592,1159,0.439595,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/cathal/13_0418.webp,day4/members/cathal/13_0418.webp,548,1381,808,1640,0.980825,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/bjorn/10_0088.webp,day1/members/bjorn/10_0088.webp,785,766,1092,1431,0.489197,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/onanong/17_0009.webp,day2/members/onanong/17_0009.webp,1,1396,426,2152,0.613449,error_hardened_all_raw_rf_iou0_45,single_face,small,yes,no,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/bjorn/18_0483.webp,day3/members/bjorn/18_0483.webp,3790,303,3839,405,0.601331,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/cathal/10_0597.webp,day2/members/cathal/10_0597.webp,0,1624,52,1847,0.617505,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/klaus/15_0590.webp,day2/members/klaus/15_0590.webp,3248,519,3333,621,0.513945,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/klaus/18_0613.webp,day3/members/klaus/18_0613.webp,3060,787,3170,917,0.994926,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/onanong/16_0470.webp,day2/members/onanong/16_0470.webp,2247,228,2315,305,0.760376,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/werner/20_0620.webp,day2/members/werner/20_0620.webp,2100,255,3234,1481,0.894001,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/tien/08_0310.webp,day1/members/tien/08_0310.webp,131,2043,236,2158,0.335557,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,yes,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/allie/10_0546.webp,day1/members/allie/10_0546.webp,1,1245,82,1454,0.531089,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/luca/20_0211.webp,day2/members/luca/20_0211.webp,1012,43,1053,91,0.641478,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/bjorn/12_0570.webp,day4/members/bjorn/12_0570.webp,226,418,312,554,0.965727,error_hardened_all_raw_rf_iou0_45,single_face,large,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/stevan/10_0044.webp,day4/members/stevan/10_0044.webp,2965,805,3015,889,0.554853,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/cathal/14_0361.webp,day2/members/cathal/14_0361.webp,1831,1014,1916,1160,0.511639,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/stevan/10_0250.webp,day1/members/stevan/10_0250.webp,644,1748,860,2156,0.906493,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,low
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/onanong/16_0577.webp,day1/members/onanong/16_0577.webp,3228,0,3326,87,0.936564,error_hardened_all_raw_rf_iou0_45,single_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day2/members/onanong/14_0331.webp,day2/members/onanong/14_0331.webp,3486,3,3667,157,0.427274,error_hardened_all_raw_rf_iou0_45,multi_face,medium,yes,yes,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/onanong/10_0182.webp,day4/members/onanong/10_0182.webp,2391,724,2441,795,0.969476,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/florian/20_0698.webp,day3/members/florian/20_0698.webp,3061,442,3223,680,0.96587,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,high
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/onanong/14_0121.webp,day3/members/onanong/14_0121.webp,3686,232,3839,1229,0.672104,error_hardened_all_raw_rf_iou0_45,no_face,none,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day4/members/cathal/13_0470.webp,day4/members/cathal/13_0470.webp,969,644,1115,807,0.92124,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day1/members/allie/09_0160.webp,day1/members/allie/09_0160.webp,2709,1245,2763,1302,0.550944,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/luca/20_0192.webp,day3/members/luca/20_0192.webp,996,1453,1084,1633,0.441989,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,02_egocentric_stress_500,02_egocentric_stress_500::day3/members/werner/19_0360.webp,day3/members/werner/19_0360.webp,3095,712,3159,795,0.947567,error_hardened_all_raw_rf_iou0_45,no_face,none,no,yes,low
