protocol_id,image_id,edge_strict_count,edge_strict_json,edge_loose_count,edge_loose_json
MM2_0011,day1/members/onanong/12_0645.webp,0,[],1,"[{""x1"":0,""y1"":1188,""x2"":849,""y2"":2160}]"
MM2_0012,day1/members/onanong/12_0150.webp,0,[],3,"[{""x1"":3456,""y1"":1188,""x2"":3840,""y2"":1780},{""x1"":2606,""y1"":1820,""x2"":2990,""y2"":2154},{""x1"":672,""y1"":1850,""x2"":963,""y2"":2125}]"
MM2_0013,day1/members/onanong/13_0656.webp,0,[],3,"[{""x1"":486,""y1"":1534,""x2"":801,""y2"":2160},{""x1"":2687,""y1"":1188,""x2"":3089,""y2"":1458},{""x1"":218,""y1"":1710,""x2"":502,""y2"":2146}]"
MM2_0014,day1/members/allie/13_0023.webp,0,[],3,"[{""x1"":2004,""y1"":1188,""x2"":3116,""y2"":1592},{""x1"":3031,""y1"":1746,""x2"":3331,""y2"":2160},{""x1"":212,""y1"":1195,""x2"":806,""y2"":1833}]"
MM2_0015,day1/members/werner/13_0227.webp,0,[],3,"[{""x1"":1496,""y1"":1611,""x2"":2130,""y2"":2160},{""x1"":2839,""y1"":1188,""x2"":3311,""y2"":2160},{""x1"":1371,""y1"":1736,""x2"":1561,""y2"":2160}]"
MM2_0016,day1/members/onanong/13_0418.webp,0,[],3,"[{""x1"":264,""y1"":1188,""x2"":571,""y2"":1778},{""x1"":0,""y1"":1188,""x2"":263,""y2"":1810},{""x1"":0,""y1"":1665,""x2"":283,""y2"":1936}]"
MM2_0017,day1/members/allie/14_0032.webp,0,[],3,"[{""x1"":918,""y1"":1609,""x2"":1554,""y2"":1950},{""x1"":994,""y1"":1188,""x2"":1350,""y2"":1441},{""x1"":786,""y1"":1188,""x2"":1057,""y2"":1586}]"
MM2_0018,day1/members/cathal/14_0438.webp,0,[],3,"[{""x1"":3326,""y1"":1188,""x2"":3840,""y2"":1843},{""x1"":1608,""y1"":1482,""x2"":2587,""y2"":2160},{""x1"":2622,""y1"":1188,""x2"":3357,""y2"":2059}]"
MM2_0019,day1/members/luca/14_0671.webp,0,[],3,"[{""x1"":116,""y1"":1188,""x2"":1035,""y2"":1876},{""x1"":1041,""y1"":1188,""x2"":1462,""y2"":1547},{""x1"":1186,""y1"":1552,""x2"":1462,""y2"":1809}]"
MM2_0020,day1/members/tien/14_0109.webp,0,[],2,"[{""x1"":0,""y1"":1397,""x2"":522,""y2"":1937},{""x1"":457,""y1"":1188,""x2"":1025,""y2"":1895}]"
MM2_0021,day1/members/luca/15_0032.webp,0,[],3,"[{""x1"":1126,""y1"":1188,""x2"":1917,""y2"":1652},{""x1"":2328,""y1"":1660,""x2"":3322,""y2"":2156},{""x1"":2334,""y1"":1188,""x2"":2762,""y2"":1628}]"
MM2_0022,day1/members/onanong/15_0174.webp,0,[],3,"[{""x1"":102,""y1"":1188,""x2"":1121,""y2"":2043},{""x1"":2779,""y1"":1188,""x2"":3840,""y2"":1909},{""x1"":1019,""y1"":1333,""x2"":1528,""y2"":1738}]"
MM2_0023,day1/members/onanong/15_0421.webp,0,[],3,"[{""x1"":3441,""y1"":1230,""x2"":3840,""y2"":2160},{""x1"":0,""y1"":1188,""x2"":964,""y2"":2060},{""x1"":2279,""y1"":1188,""x2"":2946,""y2"":2045}]"
MM2_0024,day1/members/florian/15_0596.webp,0,[],3,"[{""x1"":1888,""y1"":1213,""x2"":2287,""y2"":1584},{""x1"":1566,""y1"":1223,""x2"":2503,""y2"":1690},{""x1"":1708,""y1"":1769,""x2"":2653,""y2"":2109}]"
MM2_0025,day1/members/werner/16_0501.webp,0,[],3,"[{""x1"":951,""y1"":1188,""x2"":1853,""y2"":1963},{""x1"":2181,""y1"":1748,""x2"":2687,""y2"":2160},{""x1"":2725,""y1"":1551,""x2"":3236,""y2"":2160}]"
MM2_0026,day1/members/werner/16_0278.webp,0,[],1,"[{""x1"":3420,""y1"":1780,""x2"":3623,""y2"":2140}]"
MM2_0027,day1/members/florian/16_0046.webp,0,[],3,"[{""x1"":1916,""y1"":1188,""x2"":2426,""y2"":2014},{""x1"":2453,""y1"":1225,""x2"":2950,""y2"":2048},{""x1"":0,""y1"":1273,""x2"":452,""y2"":2160}]"
MM2_0028,day1/members/cathal/16_0128.webp,0,[],2,"[{""x1"":1034,""y1"":1188,""x2"":1563,""y2"":2077},{""x1"":1939,""y1"":1710,""x2"":2295,""y2"":2011}]"
MM2_0029,day1/members/klaus/17_0225.webp,0,[],3,"[{""x1"":1251,""y1"":1308,""x2"":1682,""y2"":2029},{""x1"":2691,""y1"":1188,""x2"":3148,""y2"":1477},{""x1"":2896,""y1"":1858,""x2"":3167,""y2"":2160}]"
MM2_0030,day1/members/cathal/17_0482.webp,0,[],3,"[{""x1"":1045,""y1"":1480,""x2"":2152,""y2"":2160},{""x1"":2225,""y1"":1470,""x2"":2718,""y2"":2160},{""x1"":399,""y1"":1819,""x2"":1000,""y2"":2127}]"
MM2_0031,day1/members/stevan/17_0713.webp,0,[],0,[]
MM2_0032,day1/members/tien/17_0143.webp,0,[],3,"[{""x1"":3128,""y1"":1382,""x2"":3567,""y2"":1734},{""x1"":3317,""y1"":1690,""x2"":3840,""y2"":1907},{""x1"":3428,""y1"":1188,""x2"":3840,""y2"":1399}]"
MM2_0033,day1/members/werner/18_0025.webp,0,[],1,"[{""x1"":290,""y1"":1188,""x2"":1131,""y2"":1548}]"
MM2_0034,day1/members/cathal/18_0506.webp,0,[],3,"[{""x1"":1941,""y1"":1716,""x2"":2879,""y2"":2160},{""x1"":3107,""y1"":1188,""x2"":3840,""y2"":1763},{""x1"":1429,""y1"":1856,""x2"":1818,""y2"":2160}]"
MM2_0035,day1/members/luca/18_0100.webp,0,[],3,"[{""x1"":3074,""y1"":1188,""x2"":3765,""y2"":1786},{""x1"":3595,""y1"":1474,""x2"":3840,""y2"":1842},{""x1"":3372,""y1"":1535,""x2"":3623,""y2"":1824}]"
MM2_0036,day1/members/bjorn/18_0423.webp,0,[],3,"[{""x1"":521,""y1"":1188,""x2"":1397,""y2"":2093},{""x1"":218,""y1"":1188,""x2"":773,""y2"":1704},{""x1"":973,""y1"":1830,""x2"":1297,""y2"":2160}]"
MM2_0037,day1/members/werner/19_0440.webp,0,[],3,"[{""x1"":1331,""y1"":1188,""x2"":1825,""y2"":1922},{""x1"":2298,""y1"":1188,""x2"":2990,""y2"":1841},{""x1"":2774,""y1"":1256,""x2"":3160,""y2"":1490}]"
MM2_0038,day1/members/onanong/19_0549.webp,0,[],0,[]
MM2_0039,day1/members/allie/19_0644.webp,0,[],3,"[{""x1"":3306,""y1"":1615,""x2"":3698,""y2"":2024},{""x1"":1315,""y1"":1188,""x2"":1624,""y2"":1950},{""x1"":1634,""y1"":1188,""x2"":1876,""y2"":1781}]"
MM2_0040,day1/members/tien/19_0234.webp,0,[],0,[]
MM2_0041,day1/members/florian/20_0272.webp,0,[],3,"[{""x1"":807,""y1"":1188,""x2"":1258,""y2"":1774},{""x1"":3142,""y1"":1868,""x2"":3711,""y2"":2160},{""x1"":1021,""y1"":1546,""x2"":1317,""y2"":1776}]"
MM2_0042,day1/members/florian/20_0329.webp,0,[],3,"[{""x1"":1640,""y1"":1449,""x2"":2109,""y2"":2160},{""x1"":1058,""y1"":1795,""x2"":1393,""y2"":2040},{""x1"":3324,""y1"":1944,""x2"":3840,""y2"":2160}]"
MM2_0043,day1/members/cathal/20_0173.webp,0,[],0,[]
MM2_0044,day1/members/onanong/20_0021.webp,0,[],3,"[{""x1"":350,""y1"":1830,""x2"":734,""y2"":2160},{""x1"":2175,""y1"":1463,""x2"":3035,""y2"":2160},{""x1"":2910,""y1"":1635,""x2"":3189,""y2"":2160}]"
MM2_0045,day1/members/cathal/08_0423.webp,0,[],3,"[{""x1"":942,""y1"":1188,""x2"":1648,""y2"":1752},{""x1"":386,""y1"":1256,""x2"":1104,""y2"":2160},{""x1"":0,""y1"":1196,""x2"":712,""y2"":1453}]"
MM2_0046,day1/members/luca/08_0255.webp,1,"[{""x1"":2038,""y1"":1721,""x2"":2758,""y2"":2160}]",3,"[{""x1"":2038,""y1"":1721,""x2"":2758,""y2"":2160},{""x1"":3459,""y1"":1270,""x2"":3840,""y2"":2160},{""x1"":3025,""y1"":1422,""x2"":3387,""y2"":1901}]"
MM2_0047,day1/members/werner/08_0632.webp,0,[],0,[]
MM2_0048,day1/members/florian/08_0344.webp,0,[],2,"[{""x1"":3473,""y1"":1188,""x2"":3793,""y2"":1843},{""x1"":442,""y1"":1188,""x2"":821,""y2"":1454}]"
MM2_0049,day1/members/onanong/09_0581.webp,0,[],1,"[{""x1"":196,""y1"":1228,""x2"":879,""y2"":2160}]"
MM2_0050,day1/members/luca/09_0045.webp,0,[],3,"[{""x1"":2342,""y1"":1188,""x2"":2855,""y2"":1659},{""x1"":2926,""y1"":1188,""x2"":3840,""y2"":2160},{""x1"":2068,""y1"":1699,""x2"":3159,""y2"":2160}]"
MM2_0051,day1/members/onanong/09_0482.webp,0,[],3,"[{""x1"":0,""y1"":1188,""x2"":469,""y2"":1959},{""x1"":88,""y1"":1188,""x2"":946,""y2"":2160},{""x1"":0,""y1"":1374,""x2"":421,""y2"":1996}]"
MM2_0052,day1/members/onanong/09_0283.webp,0,[],3,"[{""x1"":1755,""y1"":1776,""x2"":2109,""y2"":2121},{""x1"":1483,""y1"":1188,""x2"":2258,""y2"":2044},{""x1"":2838,""y1"":1238,""x2"":3360,""y2"":2040}]"
MM2_0053,day2/members/tien/10_0485.webp,0,[],3,"[{""x1"":1165,""y1"":1188,""x2"":2116,""y2"":2160},{""x1"":994,""y1"":1188,""x2"":1383,""y2"":1760},{""x1"":1758,""y1"":1684,""x2"":2372,""y2"":1980}]"
MM2_0054,day2/members/florian/10_0037.webp,0,[],3,"[{""x1"":2801,""y1"":1188,""x2"":3282,""y2"":1434},{""x1"":2669,""y1"":1188,""x2"":3234,""y2"":1461},{""x1"":1559,""y1"":1188,""x2"":2026,""y2"":1627}]"
MM2_0055,day2/members/klaus/10_0583.webp,0,[],3,"[{""x1"":852,""y1"":1577,""x2"":1171,""y2"":2065},{""x1"":383,""y1"":1449,""x2"":716,""y2"":1753},{""x1"":2972,""y1"":1536,""x2"":3317,""y2"":1739}]"
MM2_0056,day2/members/klaus/10_0709.webp,0,[],3,"[{""x1"":941,""y1"":1269,""x2"":1955,""y2"":2160},{""x1"":988,""y1"":1704,""x2"":1286,""y2"":2000},{""x1"":169,""y1"":1273,""x2"":587,""y2"":1927}]"
MM2_0057,day2/members/stevan/11_0550.webp,0,[],3,"[{""x1"":2017,""y1"":1188,""x2"":2502,""y2"":1880},{""x1"":1216,""y1"":1188,""x2"":1640,""y2"":2091},{""x1"":2429,""y1"":1432,""x2"":2775,""y2"":1935}]"
MM2_0058,day2/members/stevan/11_0346.webp,0,[],3,"[{""x1"":1957,""y1"":1403,""x2"":2724,""y2"":2013},{""x1"":3358,""y1"":1517,""x2"":3840,""y2"":2027},{""x1"":1461,""y1"":1189,""x2"":1922,""y2"":1728}]"
MM2_0059,day2/members/stevan/11_0104.webp,0,[],3,"[{""x1"":1345,""y1"":1322,""x2"":2168,""y2"":2070},{""x1"":869,""y1"":1760,""x2"":1458,""y2"":2160},{""x1"":24,""y1"":1416,""x2"":759,""y2"":2160}]"
MM2_0060,day2/members/stevan/11_0245.webp,0,[],3,"[{""x1"":1748,""y1"":1578,""x2"":2602,""y2"":2036},{""x1"":357,""y1"":1188,""x2"":931,""y2"":1883},{""x1"":2169,""y1"":1200,""x2"":3030,""y2"":2117}]"
MM2_0061,day2/members/klaus/12_0131.webp,0,[],2,"[{""x1"":1740,""y1"":1686,""x2"":2623,""y2"":2160},{""x1"":711,""y1"":1253,""x2"":1378,""y2"":1684}]"
MM2_0062,day2/members/luca/12_0322.webp,0,[],1,"[{""x1"":1546,""y1"":1197,""x2"":2501,""y2"":1565}]"
MM2_0063,day2/members/klaus/12_0217.webp,0,[],3,"[{""x1"":2690,""y1"":1691,""x2"":3187,""y2"":2056},{""x1"":156,""y1"":1188,""x2"":572,""y2"":1538},{""x1"":1168,""y1"":1346,""x2"":1819,""y2"":1772}]"
MM2_0064,day2/members/cathal/12_0720.webp,0,[],3,"[{""x1"":1260,""y1"":1576,""x2"":2601,""y2"":2160},{""x1"":711,""y1"":1802,""x2"":1157,""y2"":2160},{""x1"":2553,""y1"":1563,""x2"":2880,""y2"":1775}]"
MM2_0065,day2/members/tien/13_0301.webp,0,[],3,"[{""x1"":1522,""y1"":1188,""x2"":2446,""y2"":1684},{""x1"":2780,""y1"":1188,""x2"":3183,""y2"":1640},{""x1"":2647,""y1"":1684,""x2"":3096,""y2"":2160}]"
MM2_0066,day2/members/tien/13_0227.webp,0,[],3,"[{""x1"":1523,""y1"":1188,""x2"":2479,""y2"":1820},{""x1"":2793,""y1"":1188,""x2"":3778,""y2"":1725},{""x1"":0,""y1"":1192,""x2"":304,""y2"":1861}]"
MM2_0067,day2/members/tien/13_0078.webp,0,[],3,"[{""x1"":1448,""y1"":1188,""x2"":2449,""y2"":1779},{""x1"":2801,""y1"":1188,""x2"":3840,""y2"":1641},{""x1"":2641,""y1"":1738,""x2"":3081,""y2"":2160}]"
MM2_0068,day2/members/tien/13_0190.webp,0,[],3,"[{""x1"":1553,""y1"":1188,""x2"":2499,""y2"":1764},{""x1"":2834,""y1"":1188,""x2"":3818,""y2"":1676},{""x1"":2698,""y1"":1752,""x2"":3129,""y2"":2160}]"
MM2_0069,day2/members/bjorn/14_0689.webp,0,[],2,"[{""x1"":3040,""y1"":1188,""x2"":3840,""y2"":1967},{""x1"":1922,""y1"":1397,""x2"":2558,""y2"":2137}]"
MM2_0070,day2/members/werner/14_0023.webp,0,[],1,"[{""x1"":3192,""y1"":1188,""x2"":3840,""y2"":1937}]"
MM2_0071,day2/members/luca/14_0216.webp,0,[],3,"[{""x1"":600,""y1"":1188,""x2"":1250,""y2"":1643},{""x1"":1916,""y1"":1272,""x2"":2303,""y2"":2015},{""x1"":708,""y1"":1188,""x2"":1582,""y2"":2145}]"
MM2_0072,day2/members/bjorn/14_0374.webp,0,[],3,"[{""x1"":305,""y1"":1188,""x2"":838,""y2"":1840},{""x1"":863,""y1"":1188,""x2"":1371,""y2"":2012},{""x1"":0,""y1"":1239,""x2"":306,""y2"":1954}]"
MM2_0073,day2/members/klaus/15_0332.webp,0,[],3,"[{""x1"":1581,""y1"":1432,""x2"":2833,""y2"":2160},{""x1"":2800,""y1"":1520,""x2"":3574,""y2"":2160},{""x1"":3249,""y1"":1467,""x2"":3613,""y2"":1654}]"
MM2_0074,day2/members/klaus/15_0290.webp,0,[],3,"[{""x1"":2868,""y1"":1188,""x2"":3840,""y2"":1780},{""x1"":1828,""y1"":1188,""x2"":2491,""y2"":1758},{""x1"":2792,""y1"":1892,""x2"":3483,""y2"":2160}]"
MM2_0075,day2/members/klaus/15_0417.webp,0,[],3,"[{""x1"":1751,""y1"":1411,""x2"":2751,""y2"":2160},{""x1"":2874,""y1"":1441,""x2"":3628,""y2"":1945},{""x1"":3284,""y1"":1804,""x2"":3486,""y2"":2160}]"
MM2_0076,day2/members/florian/15_0625.webp,0,[],3,"[{""x1"":964,""y1"":1188,""x2"":1553,""y2"":1470},{""x1"":2578,""y1"":1265,""x2"":3172,""y2"":1567},{""x1"":259,""y1"":1188,""x2"":489,""y2"":1548}]"
MM2_0077,day2/members/florian/16_0007.webp,0,[],3,"[{""x1"":1434,""y1"":1355,""x2"":2489,""y2"":2160},{""x1"":2724,""y1"":1334,""x2"":3249,""y2"":1624},{""x1"":945,""y1"":1514,""x2"":1373,""y2"":2021}]"
MM2_0078,day2/members/florian/16_0111.webp,0,[],3,"[{""x1"":1488,""y1"":1292,""x2"":2503,""y2"":1851},{""x1"":2653,""y1"":1356,""x2"":3163,""y2"":1644},{""x1"":665,""y1"":1488,""x2"":1128,""y2"":1758}]"
MM2_0079,day2/members/allie/16_0461.webp,0,[],3,"[{""x1"":3055,""y1"":1646,""x2"":3829,""y2"":2100},{""x1"":1372,""y1"":1188,""x2"":2276,""y2"":1672},{""x1"":975,""y1"":1799,""x2"":1610,""y2"":2033}]"
MM2_0080,day2/members/allie/16_0504.webp,0,[],3,"[{""x1"":2860,""y1"":1637,""x2"":3810,""y2"":2160},{""x1"":1371,""y1"":1188,""x2"":2264,""y2"":1602},{""x1"":2228,""y1"":1188,""x2"":3002,""y2"":1713}]"
MM2_0081,day2/members/florian/17_0708.webp,0,[],3,"[{""x1"":1413,""y1"":1432,""x2"":2124,""y2"":2160},{""x1"":701,""y1"":1223,""x2"":1090,""y2"":2007},{""x1"":346,""y1"":1192,""x2"":804,""y2"":1393}]"
MM2_0082,day2/members/cathal/17_0514.webp,0,[],3,"[{""x1"":253,""y1"":1188,""x2"":621,""y2"":1446},{""x1"":816,""y1"":1221,""x2"":1263,""y2"":1462},{""x1"":1094,""y1"":1656,""x2"":1441,""y2"":2160}]"
MM2_0083,day2/members/cathal/17_0031.webp,0,[],3,"[{""x1"":0,""y1"":1822,""x2"":497,""y2"":2160},{""x1"":2689,""y1"":1448,""x2"":3269,""y2"":1932},{""x1"":0,""y1"":1336,""x2"":387,""y2"":1712}]"
MM2_0084,day2/members/cathal/17_0470.webp,0,[],3,"[{""x1"":1641,""y1"":1188,""x2"":2820,""y2"":2014},{""x1"":351,""y1"":1188,""x2"":818,""y2"":1494},{""x1"":921,""y1"":1227,""x2"":1356,""y2"":1492}]"
MM2_0085,day2/members/allie/18_0481.webp,0,[],1,"[{""x1"":1884,""y1"":1240,""x2"":2323,""y2"":1420}]"
MM2_0086,day2/members/cathal/18_0623.webp,0,[],3,"[{""x1"":2812,""y1"":1364,""x2"":3142,""y2"":1684},{""x1"":838,""y1"":1188,""x2"":1399,""y2"":1861},{""x1"":120,""y1"":1325,""x2"":646,""y2"":1572}]"
MM2_0087,day2/members/cathal/18_0165.webp,0,[],3,"[{""x1"":657,""y1"":1188,""x2"":1143,""y2"":1697},{""x1"":0,""y1"":1218,""x2"":561,""y2"":1549},{""x1"":1336,""y1"":1188,""x2"":1597,""y2"":1535}]"
MM2_0088,day2/members/cathal/18_0330.webp,0,[],3,"[{""x1"":1956,""y1"":1188,""x2"":3189,""y2"":1807},{""x1"":2299,""y1"":1188,""x2"":2878,""y2"":1654},{""x1"":779,""y1"":1188,""x2"":1256,""y2"":1573}]"
MM2_0089,day2/members/cathal/19_0065.webp,0,[],3,"[{""x1"":0,""y1"":1301,""x2"":470,""y2"":2160},{""x1"":0,""y1"":1188,""x2"":306,""y2"":1645},{""x1"":2351,""y1"":1188,""x2"":3184,""y2"":1968}]"
MM2_0090,day2/members/allie/19_0540.webp,0,[],3,"[{""x1"":2013,""y1"":1654,""x2"":2790,""y2"":2125},{""x1"":2075,""y1"":1278,""x2"":3047,""y2"":1633},{""x1"":2737,""y1"":1733,""x2"":3426,""y2"":2061}]"
MM2_0091,day2/members/cathal/19_0188.webp,0,[],3,"[{""x1"":1985,""y1"":1693,""x2"":3088,""y2"":2160},{""x1"":428,""y1"":1188,""x2"":889,""y2"":1724},{""x1"":3064,""y1"":1253,""x2"":3586,""y2"":1527}]"
MM2_0092,day2/members/cathal/19_0230.webp,0,[],3,"[{""x1"":2047,""y1"":1681,""x2"":3159,""y2"":2160},{""x1"":1851,""y1"":1188,""x2"":3131,""y2"":1739},{""x1"":2001,""y1"":1188,""x2"":2706,""y2"":1625}]"
MM2_0093,day2/members/cathal/20_0186.webp,0,[],3,"[{""x1"":1326,""y1"":1612,""x2"":2209,""y2"":2160},{""x1"":669,""y1"":1188,""x2"":1120,""y2"":1549},{""x1"":3016,""y1"":1188,""x2"":3355,""y2"":1590}]"
MM2_0094,day2/members/stevan/20_0437.webp,0,[],2,"[{""x1"":1766,""y1"":1346,""x2"":2234,""y2"":2160},{""x1"":1194,""y1"":1234,""x2"":1506,""y2"":2100}]"
MM2_0095,day2/members/werner/20_0669.webp,0,[],3,"[{""x1"":1173,""y1"":1188,""x2"":2376,""y2"":1664},{""x1"":973,""y1"":1188,""x2"":1274,""y2"":1897},{""x1"":1009,""y1"":1830,""x2"":1408,""y2"":2160}]"
MM2_0096,day2/members/werner/20_0510.webp,0,[],0,[]
MM2_0097,day2/members/werner/08_0068.webp,0,[],3,"[{""x1"":3277,""y1"":1188,""x2"":3644,""y2"":1639},{""x1"":1984,""y1"":1730,""x2"":2512,""y2"":2160},{""x1"":1571,""y1"":1695,""x2"":1954,""y2"":1946}]"
MM2_0098,day2/members/luca/08_0586.webp,0,[],3,"[{""x1"":1474,""y1"":1424,""x2"":2613,""y2"":1963},{""x1"":1658,""y1"":1484,""x2"":2518,""y2"":1939},{""x1"":0,""y1"":1188,""x2"":693,""y2"":1482}]"
MM2_0099,day2/members/luca/08_0637.webp,0,[],3,"[{""x1"":0,""y1"":1433,""x2"":375,""y2"":1951},{""x1"":1432,""y1"":1188,""x2"":2741,""y2"":1821},{""x1"":961,""y1"":1561,""x2"":1280,""y2"":1922}]"
MM2_0100,day2/members/luca/08_0482.webp,0,[],2,"[{""x1"":1574,""y1"":1293,""x2"":2001,""y2"":1520},{""x1"":450,""y1"":1585,""x2"":930,""y2"":1815}]"
MM2_0101,day2/members/werner/09_0713.webp,0,[],2,"[{""x1"":1602,""y1"":1974,""x2"":2056,""y2"":2160},{""x1"":3286,""y1"":1226,""x2"":3511,""y2"":1541}]"
MM2_0102,day2/members/florian/09_0551.webp,0,[],3,"[{""x1"":1556,""y1"":1426,""x2"":2015,""y2"":2160},{""x1"":2035,""y1"":1432,""x2"":2445,""y2"":2160},{""x1"":2979,""y1"":1748,""x2"":3539,""y2"":2008}]"
MM2_0103,day2/members/florian/09_0655.webp,0,[],3,"[{""x1"":1425,""y1"":1334,""x2"":2088,""y2"":2160},{""x1"":1956,""y1"":1456,""x2"":2613,""y2"":2160},{""x1"":2931,""y1"":1404,""x2"":3840,""y2"":1785}]"
MM2_0104,day2/members/florian/09_0290.webp,0,[],3,"[{""x1"":0,""y1"":1195,""x2"":419,""y2"":1799},{""x1"":0,""y1"":1342,""x2"":194,""y2"":1791},{""x1"":3445,""y1"":1188,""x2"":3840,""y2"":2160}]"
MM2_0105,day3/members/allie/10_0309.webp,0,[],2,"[{""x1"":0,""y1"":1188,""x2"":919,""y2"":2160},{""x1"":2841,""y1"":1188,""x2"":3840,""y2"":2009}]"
MM2_0106,day3/members/klaus/10_0640.webp,0,[],3,"[{""x1"":397,""y1"":1797,""x2"":718,""y2"":2160},{""x1"":1353,""y1"":1618,""x2"":2615,""y2"":2160},{""x1"":3447,""y1"":1188,""x2"":3840,""y2"":1935}]"
MM2_0107,day3/members/bjorn/10_0208.webp,0,[],2,"[{""x1"":1398,""y1"":1188,""x2"":2058,""y2"":2160},{""x1"":201,""y1"":1188,""x2"":815,""y2"":2160}]"
MM2_0108,day3/members/tien/10_0459.webp,0,[],3,"[{""x1"":1425,""y1"":1188,""x2"":1997,""y2"":1453},{""x1"":104,""y1"":1449,""x2"":836,""y2"":2160},{""x1"":2501,""y1"":1188,""x2"":3230,""y2"":1656}]"
MM2_0109,day3/members/klaus/11_0126.webp,0,[],3,"[{""x1"":318,""y1"":1790,""x2"":687,""y2"":2160},{""x1"":1252,""y1"":1602,""x2"":2617,""y2"":2160},{""x1"":3153,""y1"":1188,""x2"":3840,""y2"":2160}]"
MM2_0110,day3/members/cathal/11_0222.webp,0,[],3,"[{""x1"":389,""y1"":1188,""x2"":1229,""y2"":1707},{""x1"":1286,""y1"":1188,""x2"":1905,""y2"":2160},{""x1"":3084,""y1"":1374,""x2"":3693,""y2"":1696}]"
MM2_0111,day3/members/klaus/11_0085.webp,0,[],3,"[{""x1"":1191,""y1"":1563,""x2"":2543,""y2"":2089},{""x1"":2592,""y1"":1627,""x2"":3057,""y2"":2160},{""x1"":3280,""y1"":1188,""x2"":3840,""y2"":2160}]"
MM2_0112,day3/members/tien/11_0629.webp,0,[],2,"[{""x1"":911,""y1"":1188,""x2"":1537,""y2"":1958},{""x1"":1638,""y1"":1432,""x2"":2332,""y2"":1796}]"
MM2_0113,day3/members/klaus/12_0549.webp,0,[],0,[]
MM2_0114,day3/members/florian/12_0423.webp,0,[],1,"[{""x1"":3380,""y1"":1485,""x2"":3840,""y2"":2160}]"
MM2_0115,day3/members/cathal/12_0103.webp,0,[],1,"[{""x1"":1425,""y1"":1401,""x2"":2110,""y2"":2160}]"
MM2_0116,day3/members/onanong/12_0079.webp,0,[],0,[]
MM2_0117,day3/members/florian/13_0155.webp,0,[],2,"[{""x1"":1159,""y1"":1349,""x2"":1508,""y2"":2076},{""x1"":276,""y1"":1718,""x2"":601,""y2"":2061}]"
MM2_0118,day3/members/florian/13_0715.webp,0,[],1,"[{""x1"":2734,""y1"":1691,""x2"":3172,""y2"":2160}]"
MM2_0119,day3/members/klaus/13_0050.webp,0,[],3,"[{""x1"":2815,""y1"":1630,""x2"":3598,""y2"":2160},{""x1"":353,""y1"":1188,""x2"":1596,""y2"":1782},{""x1"":2928,""y1"":1188,""x2"":3338,""y2"":1600}]"
MM2_0120,day3/members/florian/13_0205.webp,0,[],3,"[{""x1"":1775,""y1"":1821,""x2"":2212,""y2"":2160},{""x1"":3093,""y1"":1748,""x2"":3840,""y2"":2160},{""x1"":0,""y1"":1583,""x2"":524,""y2"":1931}]"
MM2_0121,day3/members/stevan/14_0173.webp,0,[],1,"[{""x1"":3004,""y1"":1876,""x2"":3589,""y2"":2160}]"
MM2_0122,day3/members/stevan/14_0466.webp,0,[],0,[]
